"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","10.1988816976333 [ 5.32549496365 - 14.86241493905 ]","9.84689741434167 [ 5.95745113806375 - 15.10034924435 ]","10.3859419893666 [ 6.07717251012501 - 15.0381174039687 ]","10.5814201230215 [ 6.40223839305001 - 15.198296550525 ]","10.08715679178 [ 6.013938136875 - 14.161887424225 ]","10.281578413 [ 6.45080891025 - 14.3183589926125 ]","10.3478391523 [ 6.9118967369 - 13.36892119492 ]","10.3429320760571 [ 6.6206314516625 - 13.61024703825 ]","10.472313580175 [ 7.18254328320715 - 13.79435924348 ]","10.2427606144 [ 7.2941365660875 - 13.5412309543667 ]","10.6997392543375 [ 7.31642040669 - 13.534279584415 ]","10.443607384 [ 7.51769456961 - 13.3869922286683 ]","10.7182087671 [ 8.0604977878 - 13.579462079 ]","11.2038450361318 [ 10.3982659349238 - 11.9268199950292 ]"
"2","1.7883124324 [ 1.01579191164999 - 3.4135969521125 ]","2.11455140445 [ 1.0311406916125 - 3.212193244225 ]","2.37517555545 [ 1.39826986680001 - 3.746681707275 ]","2.23099764842499 [ 1.43780917157499 - 3.337418641375 ]","1.99943300853333 [ 1.0933647847 - 3.34800219285 ]","2.5123429317 [ 1.2171769897075 - 3.42179242753 ]","2.19706400275 [ 1.298824950725 - 3.4341194113 ]","2.1248949146 [ 1.146762559875 - 3.39523486538334 ]","2.2122941075 [ 1.405579813175 - 3.3304939465 ]","2.2228772813525 [ 1.4489693204125 - 3.207921961975 ]","2.33289611725 [ 1.43359751845 - 3.32885010805 ]","2.28937008786 [ 1.2941856292 - 3.2412437788 ]","2.1591418002 [ 1.35857169749166 - 3.168187356 ]","1.76173812844 [ 1.46280480619226 - 2.1124408406514 ]"
"3","13.740776928475 [ 8.05393898257501 - 16.231793419275 ]","13.4255271445 [ 10.47407421145 - 17.9699749776 ]","13.3250888574 [ 7.9989911853 - 16.4141633384 ]","14.32206443265 [ 10.965656192625 - 17.5838447299 ]","13.9454266497 [ 8.99242824249999 - 17.3085176552 ]","14.1324978725 [ 8.726048573225 - 17.16042396075 ]","13.77090477655 [ 9.634044565975 - 17.422445544175 ]","14.0732982416 [ 10.3199150616 - 17.3698524417 ]","13.976347590575 [ 10.53843175715 - 16.93991570745 ]","13.9684179506 [ 9.99854145705 - 16.6080742072 ]","14.091670615425 [ 11.0305181808 - 16.5429286346875 ]","14.3544599866916 [ 9.758064358025 - 17.344174488525 ]","13.3627271 [ 9.54419822295001 - 16.986958963625 ]","13.9554707161443 [ 13.2141404996221 - 14.7326677215009 ]"
"4","10.6430048626 [ 7.5007644432 - 13.6164845596333 ]","10.4959253892 [ 8.146999198175 - 13.458814164225 ]","10.82294891185 [ 7.935748229 - 13.4759402004375 ]","10.5970051777 [ 7.79047725795 - 13.1811962451286 ]","11.2221006490333 [ 8.72388033945 - 13.8717603467 ]","11.1391912649 [ 9.13149239263333 - 13.63683086835 ]","10.7482941595667 [ 8.40042639115 - 13.2431052915667 ]","10.9538634316833 [ 8.3912829117125 - 13.134843812 ]","10.83801093045 [ 8.60657638667499 - 13.316899225275 ]","10.84496309214 [ 8.76514260209999 - 12.8692405862 ]","11.238426519175 [ 8.99553801216875 - 13.1580709239 ]","11.15182209253 [ 9.1216566775625 - 13.3932522884625 ]","10.9963383598 [ 8.88122609087 - 13.0145740585583 ]","8.6876659588454 [ 8.15121169653332 - 9.2107884815825 ]"
"5","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","8.64960724786666 [ 8.64960724786666 - 8.64960724786666 ]","2.47976034185 [ 1.84764224232501 - 3.111878441375 ]","7.1277144833 [ 7.1277144833 - 7.1277144833 ]","NA [ NA - NA ]","3.7439965409 [ 3.7439965409 - 3.7439965409 ]","3.7439965409 [ 3.7439965409 - 3.7439965409 ]","8.190115009225 [ 7.5045864254875 - 8.8756435929625 ]","5.96765351132 [ 4.85582502611 - 6.91870427031 ]","16.4409656160333 [ 14.7475203369923 - 18.18680757246 ]"
"6","19.6435941685 [ 17.6806797456 - 22.5703438147 ]","19.8563521403 [ 16.8646667225 - 22.077044361425 ]","19.9867265123 [ 17.58407999 - 22.2922900913 ]","20.0425066919 [ 17.959733050625 - 21.92052122225 ]","20.2475725076 [ 17.7597424827 - 22.524651130325 ]","19.63026872506 [ 17.4379495956333 - 21.942829187825 ]","19.9392217136 [ 17.881126281675 - 22.221873478675 ]","19.8919630537 [ 17.762603767725 - 21.935185080025 ]","19.89334148145 [ 17.680243027475 - 22.111744625675 ]","19.6710566293 [ 17.28127314655 - 22.0776289651 ]","19.8062496106 [ 17.788201653325 - 21.7796065507375 ]","19.6710566293 [ 17.5642402335166 - 21.5109965794166 ]","20.0297951288125 [ 17.9376325796583 - 21.856574917675 ]","16.9172687157483 [ 16.4526361266671 - 17.3762741743186 ]"
"7","10.2569182238 [ 4.80144644690001 - 15.27421335955 ]","9.679174943275 [ 5.3699386618875 - 15.5664328779 ]","10.278287074225 [ 5.6714182030375 - 15.38329949195 ]","10.322873062575 [ 5.7478199204625 - 15.8552148101875 ]","9.8186570724 [ 4.920964062225 - 14.48578392265 ]","10.209163234425 [ 5.5584222926625 - 14.754634456425 ]","9.85425166545 [ 5.8178543638 - 13.88384115125 ]","9.8909485052 [ 6.026314727275 - 14.4049909135 ]","9.92410036135 [ 5.9376104957375 - 14.3476168253125 ]","10.04112435525 [ 6.1387864137 - 13.940394575 ]","10.2965041372 [ 5.91818874 - 14.1952066355 ]","9.776050725775 [ 6.3208793404 - 13.77594324645 ]","10.25578794675 [ 7.1185910697 - 14.271670724 ]","10.488275528925 [ 9.38190810825 - 11.6308290117375 ]"
"8","1.7883124324 [ 0.990613999224994 - 3.4135969521125 ]","2.1554887445 [ 1.0311406916125 - 3.212193244225 ]","2.30323347445 [ 1.33349208365 - 3.746681707275 ]","2.1778544624 [ 1.281446547525 - 3.358560493775 ]","1.95311758075 [ 1.06471517762499 - 3.34800219285 ]","2.4489993545 [ 1.13710481289999 - 3.386172755825 ]","2.19706400275 [ 1.214530138775 - 3.432424137325 ]","2.15436753319999 [ 1.1000400141 - 3.46153210115 ]","2.1357050403 [ 1.28710414185 - 3.3906459459 ]","2.18659521535 [ 1.38053431739999 - 3.257667219175 ]","2.2862463146 [ 1.30846356449999 - 3.32146382840001 ]","2.1727005536 [ 1.1688318926 - 3.27746188235 ]","2.1114484827 [ 1.1935608817 - 3.22585221195 ]","1.38491641265 [ 1.0388096808375 - 1.7764417044125 ]"
"9","13.740776928475 [ 7.67123978745 - 16.231793419275 ]","13.4255271445 [ 10.2146176472 - 17.9699749776 ]","13.3240343259 [ 7.9989911853 - 16.4141633384 ]","14.32206443265 [ 11.0598242150625 - 17.5838447299 ]","14.1229378755 [ 8.99242824249999 - 17.3085176552 ]","14.1576923166 [ 8.726048573225 - 17.16042396075 ]","13.77090477655 [ 9.64139245869999 - 17.422445544175 ]","14.16714646495 [ 10.3199150616 - 17.3698524417 ]","14.1895826034 [ 10.488047045975 - 17.017827079325 ]","13.9681854492 [ 10.0894796612 - 16.6254654591 ]","14.169263892775 [ 10.91611364615 - 16.5429286346875 ]","14.260624210875 [ 10.2626945578375 - 17.5226932728625 ]","13.3444982115 [ 9.54419822295001 - 16.986958963625 ]","14.29161892435 [ 13.4867817095 - 15.11092049765 ]"
"10","10.6430048626 [ 7.4460742074 - 13.672857318625 ]","10.4732011079 [ 7.971430180125 - 13.446998596775 ]","10.79264081725 [ 7.82373113434999 - 13.55911508625 ]","10.58454865565 [ 7.58936215895 - 13.33976496895 ]","11.2660184303 [ 8.5097531377 - 14.047036436 ]","11.200611813 [ 8.9192551342 - 13.7697379905 ]","10.5728191047 [ 8.40042639115 - 13.4261106531 ]","10.8079995789 [ 8.126869601875 - 13.3664738192 ]","10.772404417 [ 8.39457306265 - 13.51938000715 ]","10.7568094811 [ 8.4932355416 - 12.95126714415 ]","11.250500092825 [ 8.637416451 - 13.4271100249125 ]","10.998603335575 [ 8.74877043170001 - 13.608638686475 ]","10.86179991645 [ 8.7180570523 - 13.08014463625 ]","8.7206923515 [ 7.867736666175 - 9.3696801210875 ]"
