"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"prop.M.15.25.F.15.25","0.1875 [ 0.137931034482759 - 0.241379310344828 ]","0.186046511627907 [ 0.142857142857143 - 0.239047619047619 ]","0.19047619047619 [ 0.140714285714286 - 0.232110912343471 ]","0.184210526315789 [ 0.142857142857143 - 0.232929242949035 ]","0.189189189189189 [ 0.148936170212766 - 0.230769230769231 ]","0.192982456140351 [ 0.150943396226415 - 0.232558139534884 ]","0.186440677966102 [ 0.155172413793103 - 0.224818959842001 ]","0.189655172413793 [ 0.151229273870783 - 0.230138713745271 ]","0.189655172413793 [ 0.152601224105462 - 0.226666666666667 ]","0.190743713215623 [ 0.157330827067669 - 0.226415094339623 ]","0.1875 [ 0.157894736842105 - 0.223684210526316 ]","0.191780821917808 [ 0.158536585365854 - 0.226666666666667 ]","0.188888888888889 [ 0.159090909090909 - 0.226666666666667 ]","1 [ 1 - 1 ]"
"prop.F.15.25.M.15.25","1 [ 0.857142857142857 - 1 ]","1 [ 0.857142857142857 - 1 ]","1 [ 0.857142857142857 - 1 ]","1 [ 0.875 - 1 ]","1 [ 0.875 - 1 ]","1 [ 0.875 - 1 ]","0.933333333333333 [ 0.875 - 1 ]","0.9375 [ 0.875 - 1 ]","0.933333333333333 [ 0.888888888888889 - 1 ]","0.933333333333333 [ 0.888888888888889 - 1 ]","0.933333333333333 [ 0.888888888888889 - 1 ]","0.9375 [ 0.888888888888889 - 1 ]","0.933333333333333 [ 0.888888888888889 - 1 ]","0.25 [ 0.111111111111111 - 0.384615384615385 ]"
"prop.M.25.40.F.15.25","0 [ 0 - 0.04 ]","0 [ 0 - 0.0357142857142857 ]","0 [ 0 - 0.0333333333333333 ]","0 [ 0 - 0.0303030303030303 ]","0 [ 0 - 0.0294117647058824 ]","0 [ 0 - 0.027027027027027 ]","0.0192307692307692 [ 0 - 0.0264935988620199 ]","0.0175438596491228 [ 0 - 0.025 ]","0.0178571428571429 [ 0 - 0.0261470985155196 ]","0.0172413793103448 [ 0 - 0.0303030303030303 ]","0.0163934426229508 [ 0 - 0.0303030303030303 ]","0.015625 [ 0 - 0.0303030303030303 ]","0.0151515151515152 [ 0 - 0.0300768882858435 ]","0.888888888888889 [ 0.8 - 1 ]"
"prop.F.25.40.M.15.25","0.666666666666667 [ 0.592592592592593 - 0.730769230769231 ]","0.666666666666667 [ 0.6 - 0.72 ]","0.666666666666667 [ 0.608056265984655 - 0.71875 ]","0.655172413793103 [ 0.6 - 0.714285714285714 ]","0.666666666666667 [ 0.608695652173913 - 0.714285714285714 ]","0.659574468085106 [ 0.607142857142857 - 0.711111111111111 ]","0.660714285714286 [ 0.613453079178886 - 0.708522727272727 ]","0.661016949152542 [ 0.611678004535148 - 0.705505279034691 ]","0.664102564102564 [ 0.614097744360902 - 0.706896551724138 ]","0.661290322580645 [ 0.613186191284663 - 0.705882352941177 ]","0.666666666666667 [ 0.617647058823529 - 0.703125 ]","0.661971830985915 [ 0.614835164835164 - 0.703414351851852 ]","0.666666666666667 [ 0.61850113023822 - 0.701224063293028 ]","0 [ 0 - 0 ]"
"prop.M.40.50.F.15.25","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0.571428571428571 [ 0.285714285714286 - 0.897222222222222 ]"
"prop.F.40.50.M.15.25","0.285714285714286 [ 0.214285714285714 - 0.357142857142857 ]","0.291666666666667 [ 0.230769230769231 - 0.352941176470588 ]","0.28125 [ 0.222222222222222 - 0.347826086956522 ]","0.291666666666667 [ 0.225806451612903 - 0.347826086956522 ]","0.282051282051282 [ 0.225806451612903 - 0.34375 ]","0.275862068965517 [ 0.228571428571429 - 0.333333333333333 ]","0.282051282051282 [ 0.233333333333333 - 0.342857142857143 ]","0.282608695652174 [ 0.236068111455108 - 0.333333333333333 ]","0.282608695652174 [ 0.239130434782609 - 0.333333333333333 ]","0.282608695652174 [ 0.238354037267081 - 0.333333333333333 ]","0.285714285714286 [ 0.23728813559322 - 0.328125 ]","0.283333333333333 [ 0.240740740740741 - 0.333333333333333 ]","0.283333333333333 [ 0.240370370370371 - 0.327429467084639 ]","0 [ 0 - 0 ]"
"prop.M.15.25.F.25.40","0.606060606060606 [ 0.545454545454545 - 0.67741935483871 ]","0.612903225806452 [ 0.552177858439201 - 0.670833333333334 ]","0.611111111111111 [ 0.553782505910166 - 0.666666666666667 ]","0.609225874867445 [ 0.555555555555556 - 0.66 ]","0.612244897959184 [ 0.553191489361702 - 0.660714285714286 ]","0.615384615384615 [ 0.558139534883721 - 0.660377358490566 ]","0.612903225806452 [ 0.560454545454546 - 0.661290322580645 ]","0.612903225806452 [ 0.56764705882353 - 0.660714285714286 ]","0.609375 [ 0.56 - 0.65625 ]","0.612701612903226 [ 0.5625 - 0.654545454545455 ]","0.610169491525424 [ 0.561797752808989 - 0.652777777777778 ]","0.611111111111111 [ 0.569444444444444 - 0.651058780576853 ]","0.611111111111111 [ 0.567567567567568 - 0.655646630236794 ]","0 [ 0 - 0 ]"
"prop.F.15.25.M.25.40","0 [ 0 - 0.142857142857143 ]","0 [ 0 - 0.125 ]","0 [ 0 - 0.14047619047619 ]","0 [ 0 - 0.125 ]","0 [ 0 - 0.125 ]","0 [ 0 - 0.125 ]","0.0666666666666667 [ 0 - 0.125 ]","0.0625 [ 0 - 0.125 ]","0.0666666666666667 [ 0 - 0.111111111111111 ]","0.0666666666666667 [ 0 - 0.111111111111111 ]","0.0666666666666667 [ 0 - 0.111111111111111 ]","0.0625 [ 0 - 0.111111111111111 ]","0.0666666666666667 [ 0 - 0.111111111111111 ]","0.557777777777778 [ 0.428571428571429 - 0.714285714285714 ]"
"prop.M.25.40.F.25.40","0.380952380952381 [ 0.3125 - 0.444444444444444 ]","0.387096774193548 [ 0.323529411764706 - 0.454545454545455 ]","0.378378378378378 [ 0.321716589861751 - 0.4375 ]","0.384615384615385 [ 0.333333333333333 - 0.437881097560975 ]","0.384615384615385 [ 0.324324324324324 - 0.44 ]","0.381818181818182 [ 0.325 - 0.433333333333333 ]","0.382665832290363 [ 0.333333333333333 - 0.429383116883117 ]","0.383333333333333 [ 0.340425531914894 - 0.428571428571429 ]","0.383156028368794 [ 0.339142948512952 - 0.427985948477752 ]","0.38 [ 0.339622641509434 - 0.428571428571429 ]","0.38 [ 0.338235294117647 - 0.428571428571429 ]","0.380952380952381 [ 0.338585607940446 - 0.427619047619048 ]","0.38 [ 0.339454177897574 - 0.422806067172265 ]","0.111111111111111 [ 0 - 0.2 ]"
"prop.F.25.40.M.25.40","0.333333333333333 [ 0.269230769230769 - 0.407407407407407 ]","0.333333333333333 [ 0.28 - 0.4 ]","0.333333333333333 [ 0.277777777777778 - 0.391039236479321 ]","0.34375 [ 0.285714285714286 - 0.39546996124031 ]","0.333333333333333 [ 0.285714285714286 - 0.391304347826087 ]","0.339622641509434 [ 0.288888888888889 - 0.392857142857143 ]","0.339134382566586 [ 0.290909090909091 - 0.386546920821114 ]","0.338709677419355 [ 0.293610547667343 - 0.387059369202226 ]","0.333333333333333 [ 0.293103448275862 - 0.385902255639098 ]","0.338461538461538 [ 0.294117647058824 - 0.386813808715336 ]","0.333333333333333 [ 0.296875 - 0.380952380952381 ]","0.3375 [ 0.29603547209181 - 0.385164835164836 ]","0.333333333333333 [ 0.297458172458173 - 0.380281690140845 ]","0 [ 0 - 0.5 ]"
"prop.M.40.50.F.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0.333333333333333 [ 0 - 0.6 ]"
"prop.F.40.50.M.25.40","0.7 [ 0.631578947368421 - 0.777777777777778 ]","0.703703703703704 [ 0.64 - 0.761904761904762 ]","0.710101867572156 [ 0.64 - 0.772727272727273 ]","0.7 [ 0.642142857142857 - 0.761904761904762 ]","0.705882352941177 [ 0.652173913043478 - 0.764705882352941 ]","0.714285714285714 [ 0.657142857142857 - 0.763157894736842 ]","0.707317073170732 [ 0.652839396628216 - 0.758620689655172 ]","0.709677419354839 [ 0.658536585365854 - 0.756756756756757 ]","0.707317073170732 [ 0.659211798839458 - 0.75 ]","0.707317073170732 [ 0.659090909090909 - 0.755102040816326 ]","0.708333333333333 [ 0.659574468085106 - 0.754385964912281 ]","0.707317073170732 [ 0.660865617433414 - 0.753846153846154 ]","0.706896551724138 [ 0.666666666666667 - 0.75 ]","0 [ 0 - 0 ]"
"prop.M.15.25.F.40.50","0.2 [ 0.151515151515152 - 0.25 ]","0.195121951219512 [ 0.15625 - 0.242424242424242 ]","0.193548387096774 [ 0.147331154684096 - 0.25 ]","0.204545454545455 [ 0.159090909090909 - 0.25 ]","0.195121951219512 [ 0.153846153846154 - 0.238095238095238 ]","0.195121951219512 [ 0.153846153846154 - 0.236363636363636 ]","0.193548387096774 [ 0.157636738906089 - 0.240740740740741 ]","0.19672131147541 [ 0.163265306122449 - 0.234042553191489 ]","0.197449642625081 [ 0.163358070500928 - 0.24 ]","0.197076397780623 [ 0.163934426229508 - 0.235294117647059 ]","0.197368421052632 [ 0.1625 - 0.236111111111111 ]","0.196969696969697 [ 0.164281333060724 - 0.232608695652174 ]","0.197674418604651 [ 0.165686274509804 - 0.233854166666667 ]","0 [ 0 - 0 ]"
"prop.F.15.25.M.40.50","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0.133333333333333 [ 0 - 0.285714285714286 ]"
