"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"prop.M.15.25.F.15.25",0,0,0,0,1,1,1,1,1,1,1,1,1,1
"prop.F.15.25.M.15.25",0,0,0,0,0.142857142857143,0.2,0.2,0.25,0.222222222222222,0.25,0.222222222222222,0.25,0.25,0.25
"prop.M.25.40.F.15.25",0,1,1,1,1,1,1,1,1,1,1,1,1,0.888888888888889
"prop.F.25.40.M.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.M.40.50.F.15.25",0,0,0,0,0,0,0.333333333333333,0,0.5,0.5,0.5,0.5625,0.6,0.571428571428571
"prop.F.40.50.M.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.M.15.25.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.F.15.25.M.25.40",0,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.545454545454545,0.552777777777778,0.555555555555556,0.571428571428571,0.555555555555556,0.565217391304348,0.557777777777778
"prop.M.25.40.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111
"prop.F.25.40.M.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.M.40.50.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.333333333333333
"prop.F.40.50.M.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.M.15.25.F.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.F.15.25.M.40.50",0,0,0,0,0,0,0.0717948717948718,0,0.105555555555555,0.111111111111111,0.111111111111111,0.125,0.142857142857143,0.133333333333333
"prop.M.25.40.F.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.F.25.40.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
"prop.M.40.50.F.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.F.40.50.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
