"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"prop.M.15.25.F.15.25",0.1875,0.186046511627907,0.19047619047619,0.184210526315789,0.189189189189189,0.192982456140351,0.186440677966102,0.189655172413793,0.189655172413793,0.190743713215623,0.1875,0.191780821917808,0.188888888888889,1
"prop.F.15.25.M.15.25",1,1,1,1,1,1,0.933333333333333,0.9375,0.933333333333333,0.933333333333333,0.933333333333333,0.9375,0.933333333333333,0.25
"prop.M.25.40.F.15.25",0,0,0,0,0,0,0.0192307692307692,0.0175438596491228,0.0178571428571429,0.0172413793103448,0.0163934426229508,0.015625,0.0151515151515152,0.888888888888889
"prop.F.25.40.M.15.25",0.666666666666667,0.666666666666667,0.666666666666667,0.655172413793103,0.666666666666667,0.659574468085106,0.660714285714286,0.661016949152542,0.664102564102564,0.661290322580645,0.666666666666667,0.661971830985915,0.666666666666667,0
"prop.M.40.50.F.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571
"prop.F.40.50.M.15.25",0.285714285714286,0.291666666666667,0.28125,0.291666666666667,0.282051282051282,0.275862068965517,0.282051282051282,0.282608695652174,0.282608695652174,0.282608695652174,0.285714285714286,0.283333333333333,0.283333333333333,0
"prop.M.15.25.F.25.40",0.606060606060606,0.612903225806452,0.611111111111111,0.609225874867445,0.612244897959184,0.615384615384615,0.612903225806452,0.612903225806452,0.609375,0.612701612903226,0.610169491525424,0.611111111111111,0.611111111111111,0
"prop.F.15.25.M.25.40",0,0,0,0,0,0,0.0666666666666667,0.0625,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0625,0.0666666666666667,0.557777777777778
"prop.M.25.40.F.25.40",0.380952380952381,0.387096774193548,0.378378378378378,0.384615384615385,0.384615384615385,0.381818181818182,0.382665832290363,0.383333333333333,0.383156028368794,0.38,0.38,0.380952380952381,0.38,0.111111111111111
"prop.F.25.40.M.25.40",0.333333333333333,0.333333333333333,0.333333333333333,0.34375,0.333333333333333,0.339622641509434,0.339134382566586,0.338709677419355,0.333333333333333,0.338461538461538,0.333333333333333,0.3375,0.333333333333333,0
"prop.M.40.50.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333
"prop.F.40.50.M.25.40",0.7,0.703703703703704,0.710101867572156,0.7,0.705882352941177,0.714285714285714,0.707317073170732,0.709677419354839,0.707317073170732,0.707317073170732,0.708333333333333,0.707317073170732,0.706896551724138,0
"prop.M.15.25.F.40.50",0.2,0.195121951219512,0.193548387096774,0.204545454545455,0.195121951219512,0.195121951219512,0.193548387096774,0.19672131147541,0.197449642625081,0.197076397780623,0.197368421052632,0.196969696969697,0.197674418604651,0
"prop.F.15.25.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333333333
"prop.M.25.40.F.40.50",0.6,0.59375,0.605661881977671,0.6,0.6,0.6,0.595744680851064,0.6,0.596491228070175,0.6,0.6,0.6,0.603174603174603,0
"prop.F.25.40.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"prop.M.40.50.F.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.F.40.50.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
