"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"mean.AD.women.cl.15.25",10.1988816976333,9.84689741434167,10.3859419893666,10.5814201230215,10.08715679178,10.281578413,10.3478391523,10.3429320760571,10.472313580175,10.2427606144,10.6997392543375,10.443607384,10.7182087671,11.2038450361318
"mean.AD.men.cl.15.25",1.7883124324,2.11455140445,2.37517555545,2.23099764842499,1.99943300853333,2.5123429317,2.19706400275,2.1248949146,2.2122941075,2.2228772813525,2.33289611725,2.28937008786,2.1591418002,1.76173812844
"mean.AD.women.cl.25.40",13.740776928475,13.4255271445,13.3250888574,14.32206443265,13.9454266497,14.1324978725,13.77090477655,14.0732982416,13.976347590575,13.9684179506,14.091670615425,14.3544599866916,13.3627271,13.9554707161443
"mean.AD.men.cl.25.40",10.6430048626,10.4959253892,10.82294891185,10.5970051777,11.2221006490333,11.1391912649,10.7482941595667,10.9538634316833,10.83801093045,10.84496309214,11.238426519175,11.15182209253,10.9963383598,8.6876659588454
"mean.AD.women.cl.40.50",NA,NA,NA,NA,NA,8.64960724786666,2.47976034185,7.1277144833,NA,3.7439965409,3.7439965409,8.190115009225,5.96765351132,16.4409656160333
"mean.AD.men.cl.40.50",19.6435941685,19.8563521403,19.9867265123,20.0425066919,20.2475725076,19.63026872506,19.9392217136,19.8919630537,19.89334148145,19.6710566293,19.8062496106,19.6710566293,20.0297951288125,16.9172687157483
"med.AD.women.cl.15.25",10.2569182238,9.679174943275,10.278287074225,10.322873062575,9.8186570724,10.209163234425,9.85425166545,9.8909485052,9.92410036135,10.04112435525,10.2965041372,9.776050725775,10.25578794675,10.488275528925
"med.AD.men.cl.15.25",1.7883124324,2.1554887445,2.30323347445,2.1778544624,1.95311758075,2.4489993545,2.19706400275,2.15436753319999,2.1357050403,2.18659521535,2.2862463146,2.1727005536,2.1114484827,1.38491641265
"med.AD.women.cl.25.40",13.740776928475,13.4255271445,13.3240343259,14.32206443265,14.1229378755,14.1576923166,13.77090477655,14.16714646495,14.1895826034,13.9681854492,14.169263892775,14.260624210875,13.3444982115,14.29161892435
"med.AD.men.cl.25.40",10.6430048626,10.4732011079,10.79264081725,10.58454865565,11.2660184303,11.200611813,10.5728191047,10.8079995789,10.772404417,10.7568094811,11.250500092825,10.998603335575,10.86179991645,8.7206923515
"med.AD.women.cl.40.50",NA,NA,NA,NA,NA,1.21552414280001,2.47976034185,1.8887801662,NA,3.7439965409,3.7439965409,5.4163195299,3.7439965409,16.63596789055
"med.AD.men.cl.40.50",19.6435941685,19.8563521403,19.9867265123,20.03294939155,20.19281258155,19.6784357085,19.8679928447,19.8563521403,19.939766985825,19.817012652,19.82562774965,19.634474485,20.050657353925,17.067758998675
"sd.AD.women.cl.15.25",5.50220133375242,4.83651583304045,5.32322850117182,5.18975809308298,5.54951542078966,5.7743937131588,6.05009153408949,5.81865746708567,5.9605146753421,6.16832521333233,6.26850077864055,6.22569220210525,6.58219078561985,6.55788219911029
"sd.AD.men.cl.15.25",1.1828971107683,1.30414106615209,1.1061709173878,1.27154939299443,0.872715726055874,1.26307980663302,1.10876131449963,1.17518102946142,1.39941432895098,1.30531506465775,1.29683275905034,1.30880907241347,1.36332186563037,1.47010573236686
"sd.AD.women.cl.25.40",2.17049727082888,2.36126959481033,3.37359790581196,1.39434329021998,2.60673407317008,2.85741578317145,2.44230300026552,3.07094516271487,2.87038310811297,3.07091281191694,2.80759759907641,3.24313995091596,3.73665470685195,6.05516636007494
"sd.AD.men.cl.25.40",2.65379682655729,2.68834203258471,3.0371147360464,3.02583460686342,3.26676316418772,3.43460666098639,3.46820561053947,3.38833172406204,3.68192262422515,3.78085192854796,3.62559165295709,3.55183619727242,3.72495769791613,4.74639326355939
"sd.AD.women.cl.40.50",NA,NA,NA,NA,NA,13.0663333285256,NA,11.0943232382807,NA,NA,NA,11.2793183429243,9.95197032653067,5.16137751015116
"sd.AD.men.cl.40.50",2.16135709020559,2.47311737892612,1.98667768111729,1.5413303517202,2.0480496515956,2.67917192981496,2.07318649346999,2.30479374015514,2.41739582489078,2.51229600458303,2.48378905849675,2.97208297100967,3.0448663661267,4.07115757571647
