"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"prop.M.15.25.F.15.25","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0.8 - 1 ]","1 [ 0.846153846153846 - 1 ]","1 [ 1 - 1 ]","1 [ 1 - 1 ]","1 [ 1 - 1 ]"
"prop.F.15.25.M.15.25","0 [ 0 - 0.285714285714286 ]","0 [ 0 - 0.333333333333333 ]","0 [ 0 - 0.4 ]","0 [ 0 - 0.333333333333333 ]","0.142857142857143 [ 0 - 0.4 ]","0.2 [ 0 - 0.4 ]","0.2 [ 0 - 0.375 ]","0.25 [ 0 - 0.4 ]","0.222222222222222 [ 0 - 0.397222222222222 ]","0.25 [ 0.1 - 0.4 ]","0.222222222222222 [ 0.0833333333333333 - 0.388888888888889 ]","0.25 [ 0.125 - 0.375 ]","0.25 [ 0.111111111111111 - 0.351470588235294 ]","0.25 [ 0.111111111111111 - 0.384615384615385 ]"
"prop.M.25.40.F.15.25","0 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0.5 - 1 ]","1 [ 0.75 - 1 ]","1 [ 0.8 - 1 ]","1 [ 0.821969696969697 - 1 ]","1 [ 0.833333333333333 - 1 ]","1 [ 0.833333333333333 - 1 ]","1 [ 0.857142857142857 - 1 ]","1 [ 0.833333333333333 - 1 ]","0.888888888888889 [ 0.8 - 1 ]"
"prop.F.25.40.M.15.25","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.M.40.50.F.15.25","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0.333333333333333 [ 0 - 1 ]","0 [ 0 - 1 ]","0.5 [ 0 - 1 ]","0.5 [ 0 - 1 ]","0.5 [ 0 - 1 ]","0.5625 [ 0 - 1 ]","0.6 [ 0 - 1 ]","0.571428571428571 [ 0.285714285714286 - 0.897222222222222 ]"
"prop.F.40.50.M.15.25","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.M.15.25.F.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.F.15.25.M.25.40","0 [ 0 - 0.6 ]","0.333333333333333 [ 0 - 0.666666666666667 ]","0.5 [ 0 - 0.666666666666667 ]","0.5 [ 0 - 0.666666666666667 ]","0.5 [ 0 - 0.666666666666667 ]","0.5 [ 0.25 - 0.714285714285714 ]","0.5 [ 0.333333333333333 - 0.75 ]","0.545454545454545 [ 0.34313725490196 - 0.714285714285714 ]","0.552777777777778 [ 0.339285714285714 - 0.714285714285714 ]","0.555555555555556 [ 0.391666666666667 - 0.714285714285714 ]","0.571428571428571 [ 0.428571428571429 - 0.75 ]","0.555555555555556 [ 0.428571428571429 - 0.692307692307692 ]","0.565217391304348 [ 0.428571428571429 - 0.7 ]","0.557777777777778 [ 0.428571428571429 - 0.714285714285714 ]"
"prop.M.25.40.F.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0.13125 ]","0 [ 0 - 0.125 ]","0 [ 0 - 0.111111111111111 ]","0 [ 0 - 0.142857142857143 ]","0.111111111111111 [ 0 - 0.2 ]"
"prop.F.25.40.M.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0.383333333333333 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]"
