"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"mean.AD.women.cl.15.25",11.1,11.05,10.69,10.92,10.79,10.7,10.87,10.64,10.59,10.54,10.81,10.69,11.06,11.16
"mean.AD.men.cl.15.25",2.18,2.15,2.21,2.24,2.16,2.29,2.27,2.25,2.31,2.39,2.32,2.27,2.35,1.78
"mean.AD.women.cl.25.40",15.72,15.94,15.45,16.01,16.05,15.51,15.88,15.92,15.63,15.7,15.75,15.49,16.08,13.96
"mean.AD.men.cl.25.40",10.27,9.98,9.3,9.62,10.32,9.95,9.37,9.84,9.91,9.92,10.22,10.33,10.37,8.7
"mean.AD.women.cl.40.50",NA,12.53,NA,NA,NA,12.53,1.89,12.53,13.15,12.37,NA,7.16,12.37,16.48
"mean.AD.men.cl.40.50",19.76,22.12,20.34,20.91,21.97,20.76,20.49,20.71,20.38,20.71,21.25,20.54,21.36,16.89
"med.AD.women.cl.15.25",11.1,10.93,10.71,10.8,10.83,10.56,10.62,10.53,10.19,10.34,10.66,10.42,10.73,10.3
"med.AD.men.cl.15.25",2.15,2.12,2.19,2.2,2.09,2.24,2.21,2.09,2.19,2.33,2.16,2.11,2.17,1.41
"med.AD.women.cl.25.40",15.72,15.94,15.45,16.01,16.05,15.51,15.88,15.92,15.74,15.71,15.75,15.49,16.15,14.31
"med.AD.men.cl.25.40",10.27,9.99,9.3,9.58,10.31,9.94,9.36,9.84,10,9.92,10.1,10.24,10.38,8.71
"med.AD.women.cl.40.50",NA,12.53,NA,NA,NA,12.53,1.89,12.53,13.15,12.37,NA,1.94,12.37,16.62
"med.AD.men.cl.40.50",19.76,22.12,20.34,21.16,21.65,20.76,20.68,20.71,20.38,20.71,21.25,20.54,21.36,17.02
"sd.AD.women.cl.15.25",4.01,4.18,4.33,4.55,4.62,5.27,4.83,4.96,5.23,5.35,5.43,5.6,5.69,6.55
"sd.AD.men.cl.15.25",1.22,1.06,1.25,1.26,1.36,1.37,1.32,1.4,1.37,1.43,1.45,1.42,1.48,1.47
"sd.AD.women.cl.25.40",3.15,2.43,3.28,2.48,2.1,2.17,3.44,3.12,3.17,2.62,2.25,3.47,2.76,6.05
"sd.AD.men.cl.25.40",1.88,2.05,1.42,2.61,2.62,2.76,2.76,2.43,2.75,2.5,2.64,2.78,2.56,4.77
"sd.AD.women.cl.40.50",NA,15.85,NA,NA,NA,15.85,0.95,15.85,14.97,16.08,NA,11.07,16.08,5.06
"sd.AD.men.cl.40.50",2.14,0.27,1.27,2.28,0.9,1.41,1.82,1.16,0.83,1.43,1.34,1.32,1.39,4.05
