"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"mean.AD.women.cl.15.25","11.1044760053 [ 7.76911183675 - 15.35782305025 ]","11.053178019475 [ 7.23136569507501 - 14.92518369555 ]","10.689980830325 [ 6.996216924015 - 15.09552267265 ]","10.9150165215 [ 7.4668809181 - 14.7393784462 ]","10.7932571708067 [ 7.31944037015 - 14.8786841452 ]","10.6981283955286 [ 7.60540302967143 - 14.796256091125 ]","10.86542611615 [ 7.42781714331667 - 14.44413768265 ]","10.638894855075 [ 7.36583752526 - 14.0533044940625 ]","10.5850029755 [ 7.59421230548438 - 14.3428266175 ]","10.53700896205 [ 7.79692197825 - 13.9846270554625 ]","10.80991688775 [ 7.88548523879857 - 13.8596351041 ]","10.6928126131 [ 8.051677337675 - 13.9857886719 ]","11.06270870808 [ 8.38487304849286 - 13.8673929387375 ]","11.1559188320541 [ 10.3211927756621 - 11.9381047688067 ]"
"mean.AD.men.cl.15.25","2.18084407275 [ 1.1133638999 - 3.4850604438 ]","2.145036852125 [ 0.973208503974998 - 3.3730516146375 ]","2.2146398201 [ 1.2667345061 - 3.3690635287 ]","2.24266639799167 [ 1.29606559965 - 3.41671453038125 ]","2.1591418002 [ 1.295369530875 - 3.483538986135 ]","2.2871715533 [ 1.32981283945 - 3.3373382327625 ]","2.27098239012 [ 1.37880479405 - 3.32456695078333 ]","2.25292662557499 [ 1.3750122482 - 3.24882518251 ]","2.31226690418215 [ 1.434128407375 - 3.2773704920125 ]","2.38569016380834 [ 1.5791683283875 - 3.33402554075625 ]","2.31966745541667 [ 1.54367464503125 - 3.352490433725 ]","2.26650246614 [ 1.50075430015 - 3.1444674771 ]","2.351765534075 [ 1.562576025025 - 3.2461885392725 ]","1.78035062488611 [ 1.49500480750827 - 2.12623276993733 ]"
"mean.AD.women.cl.25.40","15.7222578966 [ 12.89212262145 - 18.35635489755 ]","15.94082909775 [ 13.5547980063 - 18.30914887875 ]","15.4510194724 [ 12.701801330375 - 18.1246486526 ]","16.01184506815 [ 13.5297109308 - 18.4992017498 ]","16.05293325085 [ 13.7656510726 - 18.499113474825 ]","15.5140798176 [ 13.3166704528 - 18.219276028 ]","15.8791721794 [ 12.9604932335125 - 18.552492229775 ]","15.9247566714 [ 13.1510459406 - 18.0260221625 ]","15.63147526955 [ 12.599740638 - 17.91815579825 ]","15.704979627 [ 12.9482873444 - 17.8765273506 ]","15.746776944 [ 13.173390307125 - 18.2201621919 ]","15.49419908425 [ 12.805385499 - 17.9131894286 ]","16.08476739335 [ 12.8075871126625 - 18.3686284962583 ]","13.9615292268746 [ 13.200336210926 - 14.7314692936559 ]"
"mean.AD.men.cl.25.40","10.27275935445 [ 6.884823287125 - 12.8832126653667 ]","9.9822586763 [ 6.6849112416 - 12.413708232875 ]","9.3019346845 [ 6.7872798897 - 12.371209219475 ]","9.6167186583 [ 6.74730934325 - 12.5194503748 ]","10.3199150616 [ 6.5073620818 - 13.0067875468 ]","9.9479918867 [ 6.79968610005 - 12.64645960205 ]","9.37308452898 [ 7.047278258575 - 12.46280531955 ]","9.83664063245 [ 6.8743610522375 - 12.3848513800125 ]","9.91494981276666 [ 6.87389464392501 - 12.9636101095 ]","9.9207129076 [ 7.11268785825 - 12.6626547464 ]","10.2206128905 [ 7.65770156575 - 12.69592146238 ]","10.32733479035 [ 7.53974565264999 - 12.8449200606875 ]","10.367498905175 [ 7.778765926875 - 13.0433152478333 ]","8.70243815642636 [ 8.14459723916429 - 9.23463309991214 ]"
"mean.AD.women.cl.40.50","NA [ NA - NA ]","12.53209457965 [ 12.53209457965 - 12.53209457965 ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","12.53209457965 [ 12.53209457965 - 12.53209457965 ]","1.8887801662 [ 1.8887801662 - 1.8887801662 ]","12.53209457965 [ 12.53209457965 - 12.53209457965 ]","13.14940786275 [ 13.14940786275 - 13.14940786275 ]","12.3666488004 [ 12.3666488004 - 12.3666488004 ]","NA [ NA - NA ]","7.15568585345 [ 7.15568585345 - 7.15568585345 ]","12.3666488004 [ 12.3666488004 - 12.3666488004 ]","16.4819752207 [ 14.738712632625 - 18.2184480544 ]"
"mean.AD.men.cl.40.50","19.7645662246 [ 16.3094131389 - 23.24340751115 ]","22.1195537997 [ 17.1170506723 - 23.0396919606 ]","20.34036508405 [ 16.2071151476875 - 22.4350105569 ]","20.9057167791 [ 17.51354499575 - 22.822973071675 ]","21.9682545158 [ 19.0183902910375 - 23.644711225925 ]","20.7576605967 [ 19.28881634315 - 22.199027539825 ]","20.49269101315 [ 18.8695680017 - 22.82511658635 ]","20.71481802125 [ 18.4726941151 - 23.3683749702 ]","20.3826279628 [ 17.999235876275 - 23.22154669385 ]","20.7066997924 [ 18.3608026391 - 23.299886882475 ]","21.251523164975 [ 19.264034118375 - 23.978531697725 ]","20.543425644 [ 18.8010202023 - 23.798667597 ]","21.357713262625 [ 19.16827597455 - 23.65905449045 ]","16.8946500497838 [ 16.414605066254 - 17.3797756541147 ]"
"med.AD.women.cl.15.25","11.1044760053 [ 7.76911183675 - 15.45205895895 ]","10.92546914595 [ 6.898202127325 - 15.469705868775 ]","10.7130922259 [ 6.76035050585 - 15.2564116038375 ]","10.7972553685 [ 7.1736256063 - 14.8362190331 ]","10.826463039 [ 6.72277495703751 - 14.8710896213 ]","10.5550518238 [ 6.953211287425 - 14.9866935146 ]","10.6211416257 [ 6.862062029825 - 14.771040856175 ]","10.5329085705 [ 6.645504448775 - 14.409384079425 ]","10.18744297615 [ 6.9595940112875 - 14.6913510290375 ]","10.3394236624 [ 6.86476176145 - 14.31440458655 ]","10.6639922436 [ 7.2998594654875 - 14.135686165675 ]","10.4197014985 [ 7.166818396125 - 14.22817962745 ]","10.73117953785 [ 7.733052823475 - 14.4704921867375 ]","10.29855677235 [ 9.2567402749625 - 11.544359471875 ]"
"med.AD.men.cl.15.25","2.1544706132 [ 1.0685352017 - 3.45908443060001 ]","2.120751023125 [ 0.967145592475002 - 3.3730516146375 ]","2.1898133237 [ 1.21440099235 - 3.4130950441 ]","2.204051015975 [ 1.13888103675 - 3.5255973412 ]","2.089491789 [ 1.1772953832 - 3.486677245825 ]","2.2406148045 [ 1.210716544 - 3.3475566759 ]","2.2146566015 [ 1.286816558375 - 3.2870619741 ]","2.08938113709999 [ 1.213355974375 - 3.239400229675 ]","2.19083391415 [ 1.3046864639 - 3.25566456022501 ]","2.332382688075 [ 1.38219173403749 - 3.4127401915 ]","2.1563390958 [ 1.3015221135625 - 3.35055271775 ]","2.1062299778 [ 1.3238019961 - 3.11038662270001 ]","2.172134775975 [ 1.3479602998125 - 3.2029552576875 ]","1.407034932975 [ 1.0636105432 - 1.787146148075 ]"
"med.AD.women.cl.25.40","15.7222578966 [ 12.9542779074 - 18.35635489755 ]","15.94082909775 [ 13.5547980063 - 18.30914887875 ]","15.4510194724 [ 12.701801330375 - 18.1246486526 ]","16.0118281801 [ 13.4543254444 - 18.4992017498 ]","16.05293325085 [ 13.7656510726 - 18.499113474825 ]","15.5140798176 [ 13.3166704528 - 18.219276028 ]","15.8791721794 [ 13.1587918626125 - 18.552492229775 ]","15.9247566714 [ 13.1510459406 - 18.0260221625 ]","15.7404005591 [ 12.6466076343 - 17.9521253985 ]","15.710938744 [ 13.103184036 - 17.8765273506 ]","15.746776944 [ 13.213721090475 - 18.1277843521 ]","15.49419908425 [ 12.8534460388 - 17.9131894286 ]","16.1526245541 [ 12.7074715929 - 18.3939966440625 ]","14.3134394447 [ 13.478171093775 - 15.1409885797125 ]"
"med.AD.men.cl.25.40","10.27275935445 [ 6.884823287125 - 12.8925859703 ]","9.9901125004 [ 6.81403134780001 - 12.397227694375 ]","9.303122085 [ 6.7872798897 - 12.57897704095 ]","9.5848344318 [ 6.89237213880001 - 12.555001238375 ]","10.3077376994 [ 6.5659628851 - 13.055675181 ]","9.9421705645 [ 6.767393073525 - 12.6903588409 ]","9.35976573485 [ 7.0149349689125 - 12.487740656 ]","9.83664063245 [ 6.86014374025 - 12.4386809199 ]","10.0029761767 [ 6.807689207875 - 13.02348323935 ]","9.9207129076 [ 7.0056164539 - 12.8451886635 ]","10.0966993536 [ 7.5224896101 - 12.8358190306 ]","10.2353898567 [ 7.4610046499 - 12.8471655814 ]","10.38081036255 [ 7.6922710354375 - 13.1706828297375 ]","8.7075648295 [ 7.8204006289125 - 9.377881339625 ]"
