"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"prop.M.15.25.F.15.25",0,0,0,0,0.5,1,1,1,1,1,1,1,1,1
"prop.F.15.25.M.15.25",0,0,0,0,0.2,0.33,0.33,0.39,0.4,0.4,0.4,0.4,0.38,0.25
"prop.M.25.40.F.15.25",0,0,0,0,0.67,0.75,1,1,1,1,1,1,1,0.89
"prop.F.25.40.M.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.M.40.50.F.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0.56
"prop.F.40.50.M.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.M.15.25.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.F.15.25.M.25.40",0,0,0,0,0.25,0.29,0.33,0.33,0.4,0.4,0.43,0.44,0.5,0.56
"prop.M.25.40.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0.11
"prop.F.25.40.M.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.M.40.50.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0.33
"prop.F.40.50.M.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.M.15.25.F.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.F.15.25.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0.13
"prop.M.25.40.F.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.F.25.40.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0.33
"prop.M.40.50.F.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prop.F.40.50.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
