"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"prop.M.15.25.F.15.25","0.166666666666666 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0.5 - 1 ]","1 [ 0.666666666666667 - 1 ]","1 [ 0.75 - 1 ]","1 [ 0.8 - 1 ]","1 [ 0.888888888888889 - 1 ]","1 [ 0.888888888888889 - 1 ]","1 [ 1 - 1 ]","1 [ 0.919871794871795 - 1 ]","1 [ 1 - 1 ]"
"prop.F.15.25.M.15.25","0 [ 0 - 0.4 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.6 ]","0 [ 0 - 0.666666666666667 ]","0.2 [ 0 - 0.61875 ]","0.333333333333333 [ 0 - 0.636363636363636 ]","0.333333333333333 [ 0 - 0.666666666666667 ]","0.392307692307693 [ 0 - 0.666666666666667 ]","0.4 [ 0 - 0.6 ]","0.4 [ 0 - 0.625 ]","0.4 [ 0 - 0.6 ]","0.4 [ 0.111111111111111 - 0.6 ]","0.375 [ 0.1 - 0.557777777777778 ]","0.25 [ 0.12125 - 0.375 ]"
"prop.M.25.40.F.15.25","0.5 [ 0 - 1 ]","0.666666666666667 [ 0 - 1 ]","0.8 [ 0 - 1 ]","0.833333333333333 [ 0 - 1 ]","0.833333333333333 [ 0.25 - 1 ]","0.875 [ 0.5 - 1 ]","0.919871794871795 [ 0.666666666666667 - 1 ]","0.9 [ 0.666666666666667 - 1 ]","0.923076923076923 [ 0.666666666666667 - 1 ]","0.909090909090909 [ 0.714285714285714 - 1 ]","0.9 [ 0.75 - 1 ]","0.916666666666667 [ 0.75 - 1 ]","0.916666666666667 [ 0.777777777777778 - 1 ]","0.888888888888889 [ 0.8 - 1 ]"
"prop.F.25.40.M.15.25","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.M.40.50.F.15.25","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.666666666666667 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.8 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0.166666666666667 [ 0 - 1 ]","0.333333333333333 [ 0 - 1 ]","0.555555555555556 [ 0.25 - 1 ]"
"prop.F.40.50.M.15.25","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.M.15.25.F.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.F.15.25.M.25.40","0 [ 0 - 0.333333333333333 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]","0.25 [ 0 - 0.6 ]","0.285714285714286 [ 0 - 0.571428571428571 ]","0.333333333333333 [ 0 - 0.6 ]","0.333333333333333 [ 0 - 0.6 ]","0.4 [ 0 - 0.615384615384615 ]","0.4 [ 0.0357142857142857 - 0.625 ]","0.428571428571429 [ 0.174242424242424 - 0.666666666666667 ]","0.444444444444444 [ 0.25 - 0.642857142857143 ]","0.5 [ 0.285714285714286 - 0.666666666666667 ]","0.5625 [ 0.428571428571429 - 0.714285714285714 ]"
"prop.M.25.40.F.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0.125 ]","0 [ 0 - 0.2 ]","0 [ 0 - 0.2 ]","0 [ 0 - 0.2 ]","0 [ 0 - 0.2 ]","0 [ 0 - 0.2 ]","0 [ 0 - 0.2 ]","0 [ 0 - 0.2 ]","0 [ 0 - 0.2 ]","0 [ 0 - 0.1875 ]","0.105263157894737 [ 0 - 0.2 ]"
"prop.F.25.40.M.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0.5 ]"
