"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"mean.AD.women.true.cl.15.25","7.88741125055 [ 4.5036842968 - 11.35874010835 ]","7.933599987425 [ 4.86762854165 - 11.4897547909125 ]","8.224342712 [ 5.03070203303333 - 11.61724090135 ]","8.28612831052857 [ 5.3971476410375 - 11.494905928175 ]","8.39764891624 [ 5.69775400293125 - 11.3664549704 ]","8.4765948279 [ 5.49680554746667 - 11.2700874944667 ]","8.61567972575 [ 6.216045991 - 11.2128280997938 ]","8.57829836034143 [ 5.936613291875 - 10.9978928987084 ]","8.59203757005 [ 6.23320593956042 - 11.190785308775 ]","8.76574228775 [ 6.25414902735 - 11.11305944608 ]","8.86209506035 [ 6.5003828058 - 11.41983196731 ]","8.75294953793333 [ 6.71365168546 - 10.8889349998 ]","8.8373299492 [ 6.88600011201333 - 10.8989830074834 ]","11.1559188320541 [ 10.3211927756621 - 11.9381047688067 ]"
"mean.AD.men.true.cl.15.25","1.7017291933 [ 0.8660425568 - 2.72622389868333 ]","1.50700421285 [ 0.777893733750002 - 2.5703532097 ]","1.63356639105 [ 0.877685869137499 - 2.6467646642 ]","1.55259623596666 [ 0.876996197716666 - 2.6324552740375 ]","1.576459707 [ 0.902489842800001 - 2.570638919125 ]","1.72184392254643 [ 0.9837653526375 - 2.59053637115833 ]","1.6650543743 [ 0.9804090670875 - 2.6381605611625 ]","1.7035616082 [ 1.05024228735 - 2.59769876909583 ]","1.70541641509333 [ 1.08368285165833 - 2.54013960039167 ]","1.78675182565 [ 1.1688350115 - 2.54979864945 ]","1.7573238982 [ 1.17049116571667 - 2.47121130291667 ]","1.79182266058 [ 1.15003375390833 - 2.514942248395 ]","1.794938437375 [ 1.16827887970625 - 2.52786190589375 ]","1.78035062488611 [ 1.49500480750827 - 2.12623276993733 ]"
"mean.AD.women.true.cl.25.40","12.5409951177 [ 7.2088080516 - 16.09626430645 ]","12.76434540745 [ 7.3448173751875 - 15.8371579281 ]","12.7433828436 [ 7.7376920491 - 16.3639861537 ]","12.497724244275 [ 7.802012773325 - 16.07916324635 ]","12.5513651219 [ 7.9688364863 - 16.4005834897 ]","12.1752142519 [ 6.88313791663334 - 15.50195524385 ]","12.542404132825 [ 7.9532667449 - 15.4897442391 ]","12.57897194775 [ 7.9832965654875 - 16.2671124239125 ]","12.4647459826 [ 7.9818441203 - 15.6505449317 ]","12.3162179222 [ 7.9116479132 - 15.4345328597 ]","12.7065005603 [ 7.9679369371375 - 15.6778805701 ]","12.5102858465834 [ 8.6739894781375 - 15.808076844525 ]","12.35653008105 [ 8.1805527988375 - 15.645134078575 ]","13.9615292268746 [ 13.200336210926 - 14.7314692936559 ]"
"mean.AD.men.true.cl.25.40","10.1308798022 [ 7.300352753 - 12.9254782569 ]","10.209666173 [ 7.2682042810125 - 13.1493373312375 ]","9.981128848725 [ 6.8742344749 - 12.697432573575 ]","10.0005317165 [ 7.360609071275 - 12.6917601308375 ]","10.1008534501 [ 7.491168812 - 12.73609906135 ]","9.95915547620714 [ 7.4718557259625 - 12.59191816995 ]","10.1113131706 [ 7.481636903125 - 12.40265388422 ]","9.8553314273625 [ 7.37973507126167 - 12.5146742340542 ]","9.83897073252 [ 7.6032064403325 - 12.4029284952893 ]","9.93562745805 [ 7.84425122835 - 12.2799617298285 ]","10.241308712965 [ 7.9019505797625 - 12.3143104496063 ]","9.81851046625 [ 7.94617738306667 - 12.0193043876 ]","10.1634601103 [ 8.2994969424 - 12.0456523820083 ]","8.70243815642636 [ 8.14459723916429 - 9.23463309991214 ]"
"mean.AD.women.true.cl.40.50","NA [ NA - NA ]","4.846499709 [ 4.846499709 - 4.846499709 ]","4.846499709 [ 4.846499709 - 4.846499709 ]","6.70276414345 [ 5.774631926225 - 7.630896360675 ]","4.846499709 [ 4.846499709 - 4.846499709 ]","4.846499709 [ 4.846499709 - 4.846499709 ]","6.1149789072 [ 5.4807393081 - 9.45958915885 ]","4.846499709 [ 4.846499709 - 4.846499709 ]","5.4807393081 [ 5.16361950855 - 5.79785910765 ]","6.1149789072 [ 5.4807393081 - 9.45958915885 ]","8.5590285779 [ 8.5590285779 - 8.5590285779 ]","5.4807393081 [ 5.16361950855 - 5.79785910765 ]","6.70276414345 [ 5.774631926225 - 7.630896360675 ]","16.4819752207 [ 14.738712632625 - 18.2184480544 ]"
"mean.AD.men.true.cl.40.50","18.25828297705 [ 16.0017117014 - 20.995112121775 ]","18.73805914255 [ 16.29229345065 - 21.417998149875 ]","18.48178345625 [ 16.0234806134625 - 21.320478830575 ]","18.7192404083 [ 16.1230281087 - 20.7562970288 ]","19.1309381325 [ 16.482277318075 - 21.3124761841 ]","19.10971840745 [ 16.9570312906125 - 21.1050414982375 ]","18.91087621475 [ 16.5094716706 - 21.2099932573 ]","18.7196030892 [ 16.5240867211 - 21.1650695650333 ]","18.8917213523 [ 17.06654422 - 21.10092994175 ]","18.7055976009 [ 16.4918393158 - 20.9906041631 ]","19.20720518545 [ 16.9724355553 - 21.28876948915 ]","18.96973562865 [ 16.8057779296625 - 21.079568122825 ]","19.04047453845 [ 17.2529233497 - 21.0740406644 ]","16.8946500497838 [ 16.414605066254 - 17.3797756541147 ]"
"med.AD.women.true.cl.15.25","7.4071292158 [ 4.3521403649 - 11.1559336862 ]","7.684124349 [ 4.5515604911875 - 11.4884530896 ]","7.9482736108 [ 4.5285911934 - 11.6311134279 ]","7.7710515025 [ 4.8790624402 - 11.3496341329 ]","7.79033806795 [ 5.0441912680625 - 11.4035236758125 ]","8.05837473585 [ 4.7773787049 - 11.1788765472 ]","8.09198056395 [ 5.11750725415 - 11.044400168775 ]","7.9441176584 [ 5.096809351325 - 10.9894633228875 ]","7.9496349526 [ 5.2856571545625 - 10.9918110427125 ]","8.008821014975 [ 5.426049028925 - 10.8301182374625 ]","8.2365331399 [ 5.5707386801 - 11.2606879865 ]","8.0163661078 [ 5.4944337575 - 10.6661722547 ]","8.0434778697 [ 5.5557350651 - 10.5635545781 ]","10.29855677235 [ 9.2567402749625 - 11.544359471875 ]"
"med.AD.men.true.cl.15.25","1.63499644105 [ 0.8235535531 - 2.71548330825 ]","1.453144913 [ 0.721803911150001 - 2.5773368322 ]","1.5733321338 [ 0.829703586912498 - 2.6084459918125 ]","1.473160661375 [ 0.814115923175 - 2.7096786073 ]","1.51073076895 [ 0.789500693599997 - 2.5387324586 ]","1.578931195775 [ 0.884645789025002 - 2.5587254448 ]","1.5411379851 [ 0.861982601637502 - 2.634719421775 ]","1.56142281625 [ 0.920011071975001 - 2.5415922816875 ]","1.579746356125 [ 0.902834021324999 - 2.505624670375 ]","1.61182538965 [ 0.975856374150001 - 2.499847360075 ]","1.5718772204 [ 0.956271502450003 - 2.39547395495 ]","1.6053870622 [ 0.930437575612502 - 2.4924776385625 ]","1.59896940335 [ 0.958154918950001 - 2.4791279297 ]","1.407034932975 [ 1.0636105432 - 1.787146148075 ]"
"med.AD.women.true.cl.25.40","12.7336750481 [ 7.2088080516 - 16.09626430645 ]","12.76434540745 [ 7.3448173751875 - 15.8371579281 ]","12.7760757676 [ 7.6191789617 - 16.41826977625 ]","12.497724244275 [ 7.7706576259875 - 16.022872571275 ]","12.5915042211 [ 7.9685360747 - 16.4005834897 ]","12.250211631 [ 6.8360223725 - 15.5364088839 ]","12.558705392925 [ 7.8564159664625 - 15.4897442391 ]","12.650276299525 [ 7.95596410685 - 16.3363176641 ]","12.4992929986 [ 7.69068906035 - 15.9472509662 ]","12.3162179222 [ 7.7734925221 - 15.4345328597 ]","12.7312084245 [ 7.787481005875 - 15.937442484725 ]","12.477724895725 [ 8.6523056931375 - 15.9339119624 ]","12.42147546055 [ 8.01451345826249 - 15.7301793853875 ]","14.3134394447 [ 13.478171093775 - 15.1409885797125 ]"
"med.AD.men.true.cl.25.40","10.1292944725 [ 7.21089207375 - 13.0045563164 ]","10.3036156831 [ 7.186259500025 - 13.2589737837875 ]","9.981128848725 [ 6.814524883025 - 12.96542773175 ]","10.0005317165 [ 7.25268957025 - 12.78821404735 ]","10.1286347744 [ 7.35638271515 - 12.8558605686 ]","9.75584001105 [ 7.204840597175 - 12.7016150819625 ]","10.1111564271 [ 7.23423647695 - 12.70675391625 ]","9.797304647225 [ 7.07694085385 - 12.710488046275 ]","9.6346711656 [ 7.413506692975 - 12.6135250993625 ]","9.8910003359 [ 7.72362670475 - 12.546746543575 ]","10.13149848885 [ 7.68818965735 - 12.5681462698875 ]","9.694132938 [ 7.537707823925 - 12.35749738615 ]","10.1899318405 [ 7.848569513475 - 12.579535139475 ]","8.7075648295 [ 7.8204006289125 - 9.377881339625 ]"
"med.AD.women.true.cl.40.50","NA [ NA - NA ]","4.846499709 [ 4.846499709 - 4.846499709 ]","4.846499709 [ 4.846499709 - 4.846499709 ]","6.70276414345 [ 5.774631926225 - 7.630896360675 ]","4.846499709 [ 4.846499709 - 4.846499709 ]","4.846499709 [ 4.846499709 - 4.846499709 ]","6.1149789072 [ 5.4807393081 - 9.45958915885 ]","4.846499709 [ 4.846499709 - 4.846499709 ]","5.4807393081 [ 5.16361950855 - 5.79785910765 ]","6.1149789072 [ 5.4807393081 - 9.45958915885 ]","8.5590285779 [ 8.5590285779 - 8.5590285779 ]","5.4807393081 [ 5.16361950855 - 5.79785910765 ]","6.70276414345 [ 5.774631926225 - 7.630896360675 ]","16.6217680324 [ 14.727636295 - 18.4275459033 ]"
"med.AD.men.true.cl.40.50","18.25828297705 [ 16.0017117014 - 20.995112121775 ]","18.73805914255 [ 16.2767799333125 - 21.417998149875 ]","18.43349972285 [ 16.0128254563875 - 21.320478830575 ]","18.7192404083 [ 16.17088302835 - 20.7386922023 ]","19.1309381325 [ 16.522853732825 - 21.436682470425 ]","19.11074624365 [ 16.920495438025 - 21.1050414982375 ]","19.0230201982 [ 16.481950626225 - 21.16488667615 ]","18.7196030892 [ 16.5561203281 - 21.20660486115 ]","18.9185306951 [ 17.0789454439 - 21.10092994175 ]","18.7609776855 [ 16.4849099759 - 20.99868012205 ]","19.19828315 [ 16.9724355553 - 21.25996488685 ]","19.03053027885 [ 16.79140818 - 21.1090641928125 ]","19.1293960173 [ 17.2529233497 - 21.0693655665 ]","17.024630902975 [ 16.44923012545 - 17.5800322155125 ]"
"sd.AD.women.true.cl.15.25","4.66859176870094 [ 2.37329664626889 - 7.03903344026817 ]","4.58550426776311 [ 2.29048933062727 - 7.3353424679262 ]","4.61949949386533 [ 2.21830313544214 - 7.22453065255702 ]","5.15729133981194 [ 2.81507541317614 - 7.20228146817587 ]","4.76559811835688 [ 2.92162754151793 - 7.13882742220125 ]","4.88305853825909 [ 2.9509949204862 - 7.12479171856175 ]","5.27162600300822 [ 3.07541960648602 - 7.12982161904193 ]","5.24993671379209 [ 3.38407486207242 - 7.1967245616596 ]","5.56062701077606 [ 3.57885756836558 - 7.41456923949641 ]","5.27557314359339 [ 3.55495478812013 - 7.02113433908209 ]","5.49343076203512 [ 3.80297152165695 - 7.05966306909598 ]","5.68433995352068 [ 4.0565566896733 - 7.3055894999829 ]","5.73989394513061 [ 3.98709360857654 - 7.17270055993863 ]","6.54661369460049 [ 6.05386804820527 - 7.02416208064674 ]"
"sd.AD.men.true.cl.15.25","1.05867614473847 [ 0.495991982425881 - 1.95744338875155 ]","1.06059362352212 [ 0.532980352487768 - 1.79032950358571 ]","0.994139962857177 [ 0.425397587663843 - 1.81609691710256 ]","1.0516064949132 [ 0.560336221829375 - 1.76613196617122 ]","1.11371928159128 [ 0.648756007343084 - 1.83947915514609 ]","1.19324547026023 [ 0.666435388681217 - 1.85043467678956 ]","1.15867337721772 [ 0.57538870768892 - 1.75741375360795 ]","1.2055377522608 [ 0.641453921613304 - 1.84623527943237 ]","1.20582778550665 [ 0.718242836713806 - 1.85770687562086 ]","1.26178861788211 [ 0.753660591201971 - 1.89980661269489 ]","1.27121022346051 [ 0.7578844184265 - 1.84687702043226 ]","1.21507809187857 [ 0.743113031095929 - 1.84077956058903 ]","1.26775186795905 [ 0.777971041073285 - 1.89924805268996 ]","1.47387004699624 [ 1.1703705304601 - 1.76930111128992 ]"
"sd.AD.women.true.cl.25.40","4.56149322431553 [ 3.10015781968816 - 7.35027509208517 ]","3.08550511400683 [ 1.22167597317227 - 6.12837113689307 ]","4.70925364681854 [ 3.20428685874583 - 6.95332921028144 ]","3.70972968969161 [ 2.19822063054141 - 6.25307709576824 ]","4.34750847063222 [ 1.50601057878847 - 6.25400620321351 ]","4.38589477503798 [ 2.59628579833358 - 6.90866537314568 ]","3.93535925098259 [ 1.90919335285493 - 6.41450090955696 ]","4.52823683097344 [ 2.31901453264015 - 6.56215651540449 ]","4.27044628194944 [ 1.89561153852643 - 6.43527952855585 ]","4.11864263387164 [ 1.97066158264558 - 6.72150380162949 ]","4.00084957579222 [ 2.02606456859455 - 6.11443973998166 ]","5.1562271712803 [ 2.77135838140976 - 7.25548636762412 ]","4.51531857692015 [ 2.46895429475724 - 6.81286280148695 ]","6.04785723408674 [ 5.55511950760313 - 6.5657162493487 ]"
"sd.AD.men.true.cl.25.40","3.4741773196231 [ 1.88912928024599 - 5.47568864908455 ]","3.13826797421783 [ 1.37632221440011 - 5.24082075720094 ]","3.17771868483496 [ 1.85187709670448 - 5.32124745959314 ]","3.46566758232001 [ 1.75881312672901 - 5.25956990111065 ]","3.69971165919257 [ 2.3050176281093 - 5.43986697560068 ]","3.65878305777651 [ 2.26192325148669 - 5.25531578865872 ]","3.82126020990195 [ 2.38548505830066 - 5.39552891746833 ]","3.75327317583645 [ 2.13800299282053 - 5.44627407909252 ]","3.6496904197147 [ 2.31978971524281 - 5.2535186352408 ]","3.93360459920205 [ 2.56048482475004 - 5.39127983363636 ]","4.0407848638577 [ 2.5501303915473 - 5.45912942635038 ]","3.81020398841142 [ 2.58349848553893 - 5.32608444136605 ]","4.06251075158284 [ 2.86318406527377 - 5.3584659999925 ]","4.76866653775743 [ 4.49183101238749 - 5.0780744246933 ]"
"sd.AD.women.true.cl.40.50","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","5.05960158856741 [ 3.5616249829061 - 6.57779520300303 ]"
"sd.AD.men.true.cl.40.50","3.63936385892343 [ 2.33942409519386 - 5.33985680969429 ]","1.85075572193494 [ 0.866747645184597 - 3.50988547160847 ]","2.72509466882292 [ 0.97636751356916 - 3.59071307255666 ]","2.3147700502227 [ 0.916540939456808 - 3.6983578358773 ]","2.59697311963063 [ 1.43558235152138 - 3.91136723388728 ]","2.35126482360948 [ 1.00641937944766 - 4.44694022855693 ]","2.70899240159408 [ 1.4262024614856 - 4.45229940983905 ]","2.39026877399286 [ 1.26138115570863 - 3.9325516864247 ]","2.88657124190591 [ 1.65906648463538 - 4.4696554296039 ]","2.25469955941406 [ 1.17517059385021 - 4.05242529526304 ]","2.42462247476692 [ 0.991818892367268 - 4.62002102779035 ]","2.83660589634331 [ 1.59978689195466 - 4.0960121733707 ]","3.01813202132633 [ 1.65082080478367 - 4.22850058647877 ]","4.04657807036598 [ 3.65116670837728 - 4.49015839480089 ]"
