"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"mean.AD.women.cl.15.25",10.05,9.72,10.32,10.08,10.09,10.16,10.4,10.2,10.36,10.22,10.3,10.45,10.56,11.16
"mean.AD.men.cl.15.25",2.17,2.08,2.25,2.21,2.07,2.43,2,2.19,2.22,2.34,2.33,2.36,2.26,1.78
"mean.AD.women.cl.25.40",12.91,13.32,13.32,13.75,13.8,13.72,13.52,14,13.58,13.81,13.82,13.84,13.52,13.96
"mean.AD.men.cl.25.40",10.83,10.72,10.84,10.85,11.07,11.17,10.75,11.04,11,10.91,10.95,10.98,11,8.7
"mean.AD.women.cl.40.50",NA,NA,NA,NA,NA,8.65,2.48,7.13,NA,3.74,3.74,6.82,5.97,16.48
"mean.AD.men.cl.40.50",19.91,20.1,20.07,19.97,19.74,19.67,19.99,19.94,19.81,19.79,19.78,19.74,19.98,16.89
"med.AD.women.cl.15.25",10,9.65,10.17,9.94,9.87,10.04,9.99,9.82,9.87,9.94,10.02,9.84,10.15,10.3
"med.AD.men.cl.15.25",2.15,2.09,2.24,2.14,2.07,2.41,1.99,2.17,2.15,2.29,2.25,2.29,2.23,1.41
"med.AD.women.cl.25.40",12.91,13.32,13.32,13.85,13.92,13.76,13.52,14.05,13.68,13.74,13.96,13.81,13.48,14.31
"med.AD.men.cl.25.40",10.74,10.72,10.8,10.7,11.05,11.23,10.67,10.86,10.88,10.84,10.98,10.84,10.88,8.71
"med.AD.women.cl.40.50",NA,NA,NA,NA,NA,1.22,2.48,1.89,NA,3.74,3.74,6.78,3.74,16.62
"med.AD.men.cl.40.50",19.91,20.1,20.08,19.98,19.78,19.68,20.02,19.9,19.85,19.82,19.86,19.67,20.03,17.02
"sd.AD.women.cl.15.25",5.13,4.84,5.46,5.23,5.44,5.89,5.91,6,5.96,6.17,6.17,6.43,6.39,6.55
"sd.AD.men.cl.15.25",1,1.21,1.22,1.11,1.07,1.28,1.15,1.17,1.35,1.29,1.23,1.32,1.38,1.47
"sd.AD.women.cl.25.40",2.64,2.33,3.42,3.51,3.45,2.9,3.28,3.48,2.89,3.31,2.93,3.67,3.72,6.05
"sd.AD.men.cl.25.40",2.84,2.91,3.4,3.23,3.2,3.5,3.5,3.4,3.72,3.76,3.72,3.69,3.8,4.77
"sd.AD.women.cl.40.50",NA,NA,NA,NA,NA,13.07,NA,11.09,NA,NA,NA,11.28,9.95,5.06
"sd.AD.men.cl.40.50",2.21,2.18,2.33,2.3,1.96,2.61,2.09,2.17,2.42,2.69,2.68,2.81,2.71,4.05
