"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"mean.AD.women.cl.15.25","10.04514945615 [ 5.370798927525 - 14.9058670371 ]","9.72196943173333 [ 5.9268438949 - 14.8020989018 ]","10.3186286527 [ 6.014822696425 - 14.7824568040167 ]","10.081329742 [ 6.30517075101666 - 14.53963513675 ]","10.08715679178 [ 6.29520462555 - 14.21972784605 ]","10.15586924081 [ 6.49968680586666 - 13.8420396029063 ]","10.395430066 [ 6.958319287725 - 13.82147032865 ]","10.19629203258 [ 6.82248102726022 - 13.47836330265 ]","10.3596392827667 [ 7.4020348578875 - 13.4972593359195 ]","10.2196255815998 [ 7.34043415355 - 13.3758789801687 ]","10.301518213225 [ 7.4043083350375 - 13.2160982153812 ]","10.45301731117 [ 7.49162319426357 - 13.0912194412484 ]","10.5553091433571 [ 7.89821960102151 - 13.2696357002875 ]","11.1559188320541 [ 10.3211927756621 - 11.9381047688067 ]"
"mean.AD.men.cl.15.25","2.1736473963 [ 1.0912791533 - 3.5228032212 ]","2.0840063465 [ 1.06754680895 - 3.2695745803 ]","2.24909022735 [ 1.27067296115 - 3.6069658431 ]","2.21246780778334 [ 1.1394026438 - 3.52356285717501 ]","2.06786683055 [ 1.133815597075 - 3.3550242257 ]","2.42745114873334 [ 1.3105534311 - 3.4409815087 ]","2.00385664350001 [ 1.1837686798625 - 3.38525556444732 ]","2.1898278982 [ 1.31399514589999 - 3.4439396751 ]","2.21749769055 [ 1.26623022521667 - 3.356858837875 ]","2.34000214728333 [ 1.5231218706875 - 3.30916990892917 ]","2.331783364 [ 1.40591222515 - 3.3387032795 ]","2.35753761645 [ 1.37391831836667 - 3.39162584535 ]","2.26089405467917 [ 1.4339736155 - 3.18663462675833 ]","1.78035062488611 [ 1.49500480750827 - 2.12623276993733 ]"
"mean.AD.women.cl.25.40","12.9130218791 [ 6.3195575223 - 15.9493526488 ]","13.320983535025 [ 9.22327563165001 - 17.178109198525 ]","13.32456159165 [ 8.4156571684 - 16.670644800475 ]","13.7497994789 [ 9.45298537135 - 17.379505744425 ]","13.8023881786 [ 9.3718135925 - 17.2043688761 ]","13.7217487967 [ 8.81033073535001 - 17.2803755489333 ]","13.517355958525 [ 9.47578259377084 - 17.029757139425 ]","13.9983032814334 [ 10.2963711442 - 17.126686763 ]","13.578981861525 [ 9.3462777763875 - 16.928669786 ]","13.80658162125 [ 9.5755478282 - 16.6852491998 ]","13.823683214775 [ 10.1518217104188 - 16.72482319865 ]","13.839250236875 [ 9.581948115375 - 16.9611544551125 ]","13.51803388405 [ 9.9286527898 - 16.85441044235 ]","13.9615292268746 [ 13.200336210926 - 14.7314692936559 ]"
"mean.AD.men.cl.25.40","10.8301165856 [ 7.8894123425 - 13.6413248971 ]","10.7236630645 [ 8.2987061533 - 13.6249825474 ]","10.8390863891 [ 8.26563229745 - 13.452098765275 ]","10.8533619539 [ 8.23458363879 - 13.3008731253083 ]","11.07098603025 [ 8.7113308431375 - 13.7024489692767 ]","11.1707343216 [ 8.9129246363 - 13.5650010264667 ]","10.7482941595667 [ 8.31757881895 - 13.2333878032625 ]","11.0393510627667 [ 8.646759067115 - 13.355953555675 ]","10.9953081905375 [ 8.77725618978751 - 13.3356026879 ]","10.9107940189 [ 8.82242664548125 - 13.0105457534812 ]","10.95336441105 [ 8.99302053174999 - 13.0977548907611 ]","10.9797438010416 [ 9.04670178815 - 13.1632375789117 ]","10.99522180424 [ 9.1181566398 - 12.9688371822 ]","8.70243815642636 [ 8.14459723916429 - 9.23463309991214 ]"
"mean.AD.women.cl.40.50","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","8.64960724786666 [ 8.64960724786666 - 8.64960724786666 ]","2.47976034185 [ 1.84764224232501 - 3.111878441375 ]","7.1277144833 [ 7.1277144833 - 7.1277144833 ]","NA [ NA - NA ]","3.7439965409 [ 3.7439965409 - 3.7439965409 ]","3.7439965409 [ 3.7439965409 - 3.7439965409 ]","6.81905784175 [ 6.800573428175 - 8.190115009225 ]","5.96765351132 [ 4.85582502611 - 6.91870427031 ]","16.4819752207 [ 14.738712632625 - 18.2184480544 ]"
"mean.AD.men.cl.40.50","19.909353065775 [ 17.1965206153 - 22.665924639075 ]","20.10305317895 [ 17.3928806206 - 22.46929933815 ]","20.0652922731334 [ 17.4583950440375 - 22.156263098475 ]","19.9718889845 [ 17.645046033 - 22.1939646181 ]","19.7380784028 [ 17.6385555062 - 22.0130086321 ]","19.6701528288167 [ 17.4426417610667 - 21.9738699276042 ]","19.9899980581667 [ 17.8682453441 - 22.2385215831 ]","19.9439725732 [ 17.76106992355 - 21.8919727385 ]","19.8139826920375 [ 17.590363623525 - 21.8503724702417 ]","19.7911343871 [ 17.279900169025 - 22.06020979105 ]","19.777849490825 [ 17.7119784095875 - 21.632530534625 ]","19.7441581940875 [ 17.564948552025 - 21.5570623415333 ]","19.9780392159 [ 17.8434571617875 - 21.80120313335 ]","16.8946500497838 [ 16.414605066254 - 17.3797756541147 ]"
"med.AD.women.cl.15.25","9.9964433581 [ 4.8411560012375 - 15.096843864325 ]","9.6482364301 [ 5.3710161681 - 15.3216008798 ]","10.17304636185 [ 5.357112150775 - 15.167423372725 ]","9.9402768416 [ 5.51959201315 - 15.088188236075 ]","9.86834276705 [ 5.37901865055 - 14.463369753 ]","10.041550416575 [ 5.4390590691125 - 14.3774087620125 ]","9.98562263119999 [ 5.79125922455 - 14.3563296365 ]","9.82404186470001 [ 6.0086448832125 - 14.1916802124375 ]","9.87416293505 [ 5.965621254975 - 13.9845530408125 ]","9.943355062875 [ 5.9832236713625 - 13.6997416321 ]","10.020739589625 [ 6.29315583445 - 13.8677866440625 ]","9.836909557075 [ 6.283780229625 - 13.6154477168125 ]","10.14941804745 [ 6.790501238225 - 13.96690919055 ]","10.29855677235 [ 9.2567402749625 - 11.544359471875 ]"
"med.AD.men.cl.15.25","2.15440408625 [ 1.081439138 - 3.4990881105 ]","2.089491789 [ 1.0632314138 - 3.2695745803 ]","2.23817567355 [ 1.243817379475 - 3.6103198373 ]","2.13539695975 [ 1.0888615275875 - 3.526613670075 ]","2.06786683055 [ 1.085676909325 - 3.34754789935 ]","2.41335950095 [ 1.2939881497 - 3.4318964229 ]","1.99140406215 [ 1.1311248033125 - 3.395829643875 ]","2.1662896647 [ 1.2371845737 - 3.4684341362 ]","2.1527971948 [ 1.1695140376 - 3.38966473425 ]","2.2929032428 [ 1.44441396365 - 3.333183731125 ]","2.247228868075 [ 1.303725464275 - 3.343713063375 ]","2.28526832969999 [ 1.32051771025 - 3.42803699760001 ]","2.226975180925 [ 1.2689899281375 - 3.2694728912125 ]","1.407034932975 [ 1.0636105432 - 1.787146148075 ]"
"med.AD.women.cl.25.40","12.9130218791 [ 6.2437096026 - 15.9493526488 ]","13.320983535025 [ 9.22327563165001 - 17.178109198525 ]","13.31660611975 [ 8.4156571684 - 16.668005502875 ]","13.8455711264 [ 9.331374050325 - 17.379505744425 ]","13.91851962375 [ 9.3113086877 - 17.2043688761 ]","13.7622936046 [ 8.64176641109999 - 17.3758035732 ]","13.515345186975 [ 9.50729811333751 - 17.06671810575 ]","14.0456622644 [ 10.2963711442 - 17.126686763 ]","13.67517591535 [ 9.2272902514 - 17.007322698625 ]","13.7442074042 [ 9.46015228985 - 16.7651971827 ]","13.96202262655 [ 10.17098475565 - 16.9112382087625 ]","13.813157910475 [ 9.581948115375 - 17.059679356575 ]","13.4820525033 [ 9.75348996155 - 16.8926875071 ]","14.3134394447 [ 13.478171093775 - 15.1409885797125 ]"
"med.AD.men.cl.25.40","10.7449088469 [ 7.80199883434999 - 13.8286875422 ]","10.7236630645 [ 8.14256933470001 - 13.6249825474 ]","10.8028969382 [ 8.19836409925001 - 13.695175585675 ]","10.69910357875 [ 7.9174522165375 - 13.39386117175 ]","11.04774439315 [ 8.514699404775 - 13.9358706522875 ]","11.230553548 [ 8.7191946082 - 13.6642363785 ]","10.6712413143 [ 8.256070666425 - 13.41155130885 ]","10.8624226878 [ 8.3641904625 - 13.505193821175 ]","10.88220287255 [ 8.54036938832499 - 13.5745692053625 ]","10.844262571775 [ 8.50742694995 - 13.088160163175 ]","10.9797325404 [ 8.6485437568 - 13.334045089575 ]","10.8409939907 [ 8.6391286534 - 13.336926889425 ]","10.87846139235 [ 8.6889236325 - 13.0879981495 ]","8.7075648295 [ 7.8204006289125 - 9.377881339625 ]"
"med.AD.women.cl.40.50","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","1.21552414280001 [ 1.21552414280001 - 1.21552414280001 ]","2.47976034185 [ 1.84764224232501 - 3.111878441375 ]","1.8887801662 [ 1.8887801662 - 1.8887801662 ]","NA [ NA - NA ]","3.7439965409 [ 3.7439965409 - 3.7439965409 ]","3.7439965409 [ 3.7439965409 - 3.7439965409 ]","6.7820890146 [ 4.02677794885 - 8.17163059565 ]","3.7439965409 [ 2.53570308215 - 5.8068757851 ]","16.6217680324 [ 14.727636295 - 18.4275459033 ]"
"med.AD.men.cl.40.50","19.909353065775 [ 17.1965206153 - 22.665924639075 ]","20.10305317895 [ 17.3928806206 - 22.46929933815 ]","20.0817325162 [ 17.4583950440375 - 22.156263098475 ]","19.9813817904 [ 17.7595892053 - 22.1986005858 ]","19.7816471952 [ 17.5930755165 - 22.1109922605 ]","19.67912238785 [ 17.433720600025 - 22.0633265211375 ]","20.0227610216 [ 17.8474466237 - 22.2353061173 ]","19.9008222653 [ 17.73622714145 - 22.0132328675 ]","19.8463875819 [ 17.5764313205 - 21.9055924058875 ]","19.817012652 [ 17.27418152795 - 22.1431964447 ]","19.8626645876 [ 17.54273263175 - 21.7136644803625 ]","19.66911374785 [ 17.503059345375 - 21.6600184208375 ]","20.0306997589 [ 17.900906351875 - 22.00406023965 ]","17.024630902975 [ 16.44923012545 - 17.5800322155125 ]"
"sd.AD.women.cl.15.25","5.12540701566627 [ 2.40757167231318 - 7.72962270753628 ]","4.84034392795138 [ 2.39260594692017 - 7.96765254046355 ]","5.46494910379696 [ 2.52431250331407 - 8.2595157461221 ]","5.22895906880985 [ 2.74765000831139 - 8.05982912056679 ]","5.43799786575345 [ 2.81894122996966 - 8.15085720263007 ]","5.88736338044922 [ 3.48206795363789 - 8.32479053826084 ]","5.91022243019174 [ 3.5707548142892 - 8.0243749904791 ]","5.99783588722607 [ 3.79745921050477 - 8.21344952589515 ]","5.96262274191598 [ 3.92256322581485 - 7.91259827365884 ]","6.16832521333233 [ 4.20172324925896 - 7.96596723847308 ]","6.17212052325711 [ 4.3162059702989 - 7.89119913794675 ]","6.42743379135912 [ 4.56675778412545 - 8.06167042598089 ]","6.39432831726786 [ 4.52633304219769 - 8.12519270662821 ]","6.54661369460049 [ 6.05386804820527 - 7.02416208064674 ]"
"sd.AD.men.cl.15.25","1.00378958815774 [ 0.529679897845854 - 2.04457806994612 ]","1.20933262936197 [ 0.741765518897099 - 1.83976248557587 ]","1.21647789224235 [ 0.682389777913473 - 1.97952411763213 ]","1.10506680506974 [ 0.583341475142852 - 1.80362185465009 ]","1.07027564156123 [ 0.590905676525066 - 1.95968071557285 ]","1.27723857142834 [ 0.65291458975735 - 1.88530370315923 ]","1.15201217902773 [ 0.596431774338672 - 1.96258581373141 ]","1.16992392350044 [ 0.695715650931129 - 1.78916714932017 ]","1.35431128916599 [ 0.745298353546642 - 2.03853906865372 ]","1.28564447263046 [ 0.761558050551966 - 2.0083213889278 ]","1.23361954469147 [ 0.703339577380528 - 1.88390151941223 ]","1.32141821427405 [ 0.67746589902752 - 1.97381570021604 ]","1.38097176010755 [ 0.818284790755684 - 1.97051842227384 ]","1.47387004699624 [ 1.1703705304601 - 1.76930111128992 ]"
"sd.AD.women.cl.25.40","2.6422472712535 [ 1.89661817040147 - 5.5372899556562 ]","2.32885988723894 [ 1.47033299126421 - 4.48214958387433 ]","3.42216750557479 [ 1.14378763106379 - 5.00992532445427 ]","3.5073379552921 [ 1.6868597565964 - 6.74187004111381 ]","3.44916295203308 [ 1.22051968099047 - 5.14540745769058 ]","2.89724017271096 [ 1.24492362843394 - 5.17011323106831 ]","3.28285428402923 [ 1.50369619366648 - 5.47763015263838 ]","3.47792328235529 [ 2.03703496931724 - 6.09193532732302 ]","2.89061318354938 [ 1.43135648386673 - 5.23831745991142 ]","3.30845731553684 [ 1.25135276183493 - 6.18636716271426 ]","2.92951321400707 [ 1.49489654041533 - 6.21860467708929 ]","3.66981991663599 [ 1.67082064885234 - 5.70981705022688 ]","3.71600474349968 [ 1.95491154964118 - 6.31206607901354 ]","6.04785723408674 [ 5.55511950760313 - 6.5657162493487 ]"
"sd.AD.men.cl.25.40","2.83673693545136 [ 1.65555824604114 - 5.14585354544218 ]","2.91364869502851 [ 1.42778983947214 - 5.09967608233018 ]","3.40207353720081 [ 1.88270679446191 - 5.19416910136443 ]","3.22595278710558 [ 1.86604003741332 - 5.1265287501266 ]","3.20042373645204 [ 1.90121759265145 - 4.97744333061554 ]","3.50441640467338 [ 2.28210703918621 - 5.0881441205556 ]","3.49924484962225 [ 2.03447101440448 - 5.09232422105593 ]","3.40453795207118 [ 2.08062607306067 - 4.88071694632429 ]","3.7197080625081 [ 2.34839710854466 - 5.15833323920596 ]","3.75819029587312 [ 2.4139470059098 - 5.08901816154741 ]","3.71847301179542 [ 2.40679695023314 - 5.00654377583468 ]","3.69006857491536 [ 2.3693378351163 - 5.01544760146189 ]","3.79871170927378 [ 2.37899134576533 - 5.06228231916368 ]","4.76866653775743 [ 4.49183101238749 - 5.0780744246933 ]"
