"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"mean.AD.women.true.cl.15.25",9.5559093087,9.62621919544583,9.6143648276375,9.96722777765,9.7835836131,9.77670679996667,9.829910691075,9.94168184543,9.93437309385,9.74266977431667,9.95927612524286,10.0574790965875,10.0703978919615,11.2038450361318
"mean.AD.men.true.cl.15.25",1.6662077023,1.57764497301667,1.776277915975,1.6246734488125,1.7529211983,1.6711961492,1.837153608175,1.6750785741,1.785659062075,1.7637712315,1.6766367866,1.79464523844,1.7251054513,1.76173812844
"mean.AD.women.true.cl.25.40",12.6255901097,12.80132796435,13.68136791415,12.8078212153,13.28403423065,13.9085729044,13.1025728201,13.47016043145,13.7002644756,13.2683314463,13.9930402635,13.390764828225,13.63221336205,13.9554707161443
"mean.AD.men.true.cl.25.40",9.90057900275,10.3146169594,9.93292242342,9.77256000596667,10.2005202611223,9.999963193275,9.92040913278125,9.856131223725,9.72989511659,9.9175108991,10.0716358185,10.1454572660946,9.963772261575,8.6876659588454
"mean.AD.women.true.cl.40.50",NA,9.45958915885,NA,NA,NA,6.70276414345,5.4807393081,8.82534955975,6.1149789072,6.1149789072,6.1149789072,6.1149789072,7.33700374255,16.4409656160333
"mean.AD.men.true.cl.40.50",19.23998071355,19.1757335228,19.46817283545,19.31737316015,19.42554637245,19.2312232559,19.2746634161,19.1727356162,19.1591252957611,18.856917594075,18.9551392192875,19.3478993688857,19.3311178559834,16.9172687157483
"med.AD.women.true.cl.15.25",9.4277472866,9.0766054164,9.446463525675,9.3162012476,8.9844345615,9.167147293825,9.154838803075,9.228357503425,9.3077560573,9.007415705775,9.2117250931,9.204192911975,9.2035173342,10.488275528925
"med.AD.men.true.cl.15.25",1.6662077023,1.54978318715,1.666462271175,1.573503953775,1.67872703605,1.59405384395,1.74092640125,1.54757237035,1.684518254,1.7117804023,1.5582938397,1.5913580838,1.55390632,1.38491641265
"med.AD.women.true.cl.25.40",12.6255901097,12.80132796435,13.68136791415,12.8078212153,13.212291412,13.7627540589,13.2659732004,13.57946043985,13.6976480645,13.3790557569,14.1067791719,13.375216301475,13.68890645815,14.29161892435
"med.AD.men.true.cl.25.40",9.8658705161,10.1923133582,9.9133564497,9.71301706985,10.172733707,10.08611253885,9.974352259125,9.83534819825,9.74486232045,9.9655923571,9.9571060511,10.077644273875,9.88926331645,8.7206923515
"med.AD.women.true.cl.40.50",NA,9.45958915885,NA,NA,NA,6.70276414345,5.4807393081,8.82534955975,6.1149789072,6.1149789072,6.1149789072,6.1149789072,7.33700374255,16.63596789055
"med.AD.men.true.cl.40.50",19.23998071355,19.17896980315,19.46817283545,19.31737316015,19.4651585173,19.1700409944,19.1555199359,19.1572371537,19.1733190178,18.88275985585,18.97020568555,19.207388862725,19.29473929785,17.067758998675
"sd.AD.women.true.cl.15.25",5.38497112133088,5.48517889259466,5.34554357287993,5.579992656359,5.78703486406427,5.84048683582816,5.81870951702764,6.05444960224252,6.0477484323336,6.20303252682909,6.16450232062897,6.24707977811358,6.27453047605463,6.55788219911029
"sd.AD.men.true.cl.15.25",1.34799739156869,1.02864347274806,1.20988638489038,1.19886198764203,1.13852948652123,1.28152060745991,1.16721845944546,1.18770473386239,1.21740944441783,1.15546589602769,1.20513005772299,1.369068159511,1.20987542489954,1.47010573236686
"sd.AD.women.true.cl.25.40",4.37370899068509,4.66234134332994,4.99630219621377,4.17552620142539,3.85816764307804,3.55533632207987,4.61361053903201,4.13849604544801,4.41558800399381,4.34388576815887,3.96751424670593,4.34067771063569,4.67221068719805,6.05516636007494
"sd.AD.men.true.cl.25.40",3.74164622790119,3.60373131644654,3.90545498724534,3.99923803177801,4.0139457654194,3.96977126754708,4.24483314801221,4.05693469515584,4.17764952003329,4.22437536820992,4.14544845610814,4.20505627877069,4.31606513023559,4.74639326355939
"sd.AD.women.true.cl.40.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16137751015116
"sd.AD.men.true.cl.40.50",2.55240767203709,2.00771769176355,2.77765577570078,2.64300098439723,2.86256216596938,2.97657089158968,2.75362135418701,2.73871637659293,2.77147982927205,2.68283722483935,2.91135142334282,2.98502264899766,3.1045035169973,4.07115757571647
