"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"mean.AD.women.true.cl.15.25","9.5559093087 [ 6.0084985367 - 12.8845329904333 ]","9.62621919544583 [ 6.22613456086667 - 12.5816750088375 ]","9.6143648276375 [ 6.6602445077875 - 12.8513464804958 ]","9.96722777765 [ 6.87946491155833 - 13.1136688601925 ]","9.7835836131 [ 6.90038534083333 - 12.7312712332917 ]","9.77670679996667 [ 7.33682993159375 - 12.481457744575 ]","9.829910691075 [ 7.49516183635625 - 12.2328611120822 ]","9.94168184543 [ 7.44343968207837 - 12.2895963513536 ]","9.93437309385 [ 7.68873653098 - 12.2952103923333 ]","9.74266977431667 [ 7.63348496544 - 12.1984246430806 ]","9.95927612524286 [ 7.78819493948889 - 12.0909353235833 ]","10.0574790965875 [ 8.11729684711917 - 12.0125564810086 ]","10.0703978919615 [ 8.26301651714 - 11.96244276429 ]","11.2038450361318 [ 10.3982659349238 - 11.9268199950292 ]"
"mean.AD.men.true.cl.15.25","1.6662077023 [ 0.888751060450002 - 2.57412899325 ]","1.57764497301667 [ 0.825946118999999 - 2.6252211226125 ]","1.776277915975 [ 0.951704744974997 - 2.79433239585 ]","1.6246734488125 [ 0.852446082575 - 2.7556290251375 ]","1.7529211983 [ 0.982365395237499 - 2.70555662056667 ]","1.6711961492 [ 0.920207083800001 - 2.69587517945 ]","1.837153608175 [ 1.039106669275 - 2.79281075435 ]","1.6750785741 [ 0.920613563756251 - 2.6062968498625 ]","1.785659062075 [ 1.13038303325 - 2.623123351025 ]","1.7637712315 [ 1.088632389725 - 2.58521385665 ]","1.6766367866 [ 1.0183613463 - 2.4336365770625 ]","1.79464523844 [ 1.1856278805 - 2.57524145571666 ]","1.7251054513 [ 1.08970601785 - 2.52414881110333 ]","1.76173812844 [ 1.46280480619226 - 2.1124408406514 ]"
"mean.AD.women.true.cl.25.40","12.6255901097 [ 7.866922683375 - 16.1049145413 ]","12.80132796435 [ 7.97897457884167 - 16.3490007547 ]","13.68136791415 [ 9.727682066525 - 16.865768032675 ]","12.8078212153 [ 8.3718331676 - 16.2947977953 ]","13.28403423065 [ 9.574504565425 - 16.5352690264 ]","13.9085729044 [ 9.2168754944 - 16.50184046195 ]","13.1025728201 [ 9.9449754945 - 16.9809124001 ]","13.47016043145 [ 10.2690708185 - 16.8461277922625 ]","13.7002644756 [ 9.902248512 - 16.2703083482 ]","13.2683314463 [ 9.34608004285 - 16.1488724242 ]","13.9930402635 [ 10.6324217562 - 16.4659080371 ]","13.390764828225 [ 9.7149015866125 - 16.0769532684 ]","13.63221336205 [ 9.9395324248125 - 16.5148977929625 ]","13.9554707161443 [ 13.2141404996221 - 14.7326677215009 ]"
"mean.AD.men.true.cl.25.40","9.90057900275 [ 7.404496879775 - 13.0042685167 ]","10.3146169594 [ 7.7246280516 - 12.7684364589 ]","9.93292242342 [ 7.37745881045 - 12.8807133195 ]","9.77256000596667 [ 7.47899501753333 - 12.2823113361667 ]","10.2005202611223 [ 7.83061342550119 - 12.43346943585 ]","9.999963193275 [ 8.0403758379375 - 12.214947871875 ]","9.92040913278125 [ 8.15104259310625 - 12.0021258301472 ]","9.856131223725 [ 7.92631269945 - 11.933645352575 ]","9.72989511659 [ 8.05480442629955 - 11.6865226644665 ]","9.9175108991 [ 8.05425177327182 - 11.9082097884042 ]","10.0716358185 [ 8.42917660361666 - 11.7701389824583 ]","10.1454572660946 [ 8.5120711051075 - 11.99846888918 ]","9.963772261575 [ 8.566892002 - 11.6110237770333 ]","8.6876659588454 [ 8.15121169653332 - 9.2107884815825 ]"
"mean.AD.women.true.cl.40.50","NA [ NA - NA ]","9.45958915885 [ 7.787284033025 - 11.131894284675 ]","NA [ NA - NA ]","NA [ NA - NA ]","NA [ NA - NA ]","6.70276414345 [ 5.774631926225 - 7.630896360675 ]","5.4807393081 [ 5.16361950855 - 5.79785910765 ]","8.82534955975 [ 6.835924634375 - 10.814774485125 ]","6.1149789072 [ 6.1149789072 - 6.1149789072 ]","6.1149789072 [ 6.1149789072 - 6.1149789072 ]","6.1149789072 [ 6.1149789072 - 6.1149789072 ]","6.1149789072 [ 5.4807393081 - 9.45958915885 ]","7.33700374255 [ 5.79785910765 - 9.62032128605 ]","16.4409656160333 [ 14.7475203369923 - 18.18680757246 ]"
"mean.AD.men.true.cl.40.50","19.23998071355 [ 17.3216888092625 - 21.430943419325 ]","19.1757335228 [ 16.55253075105 - 21.3571625403792 ]","19.46817283545 [ 17.3276163616 - 21.6683272379 ]","19.31737316015 [ 17.1953866141375 - 21.6318337045333 ]","19.42554637245 [ 17.2774977975 - 21.577035884425 ]","19.2312232559 [ 17.2662800166 - 21.13075222465 ]","19.2746634161 [ 17.4648773520938 - 21.433685123775 ]","19.1727356162 [ 17.4668833697917 - 21.17246278175 ]","19.1591252957611 [ 17.56390735095 - 20.974866999075 ]","18.856917594075 [ 16.9701481546833 - 20.8315413400325 ]","18.9551392192875 [ 17.256132759675 - 20.7621449557875 ]","19.3478993688857 [ 17.6537521181 - 20.8691399324031 ]","19.3311178559834 [ 17.5541640557625 - 20.66920694851 ]","16.9172687157483 [ 16.4526361266671 - 17.3762741743186 ]"
"med.AD.women.true.cl.15.25","9.4277472866 [ 5.46228986605 - 12.9200112233 ]","9.0766054164 [ 5.712730117425 - 12.8362107067 ]","9.446463525675 [ 5.8830277875375 - 13.1927415434625 ]","9.3162012476 [ 6.14391515785 - 13.278173179225 ]","8.9844345615 [ 5.80374893035 - 12.813136666925 ]","9.167147293825 [ 6.222948385725 - 12.4447215274125 ]","9.154838803075 [ 6.29234110875 - 12.154344922675 ]","9.228357503425 [ 6.513729745225 - 12.1343678216125 ]","9.3077560573 [ 6.576472624 - 12.22903944455 ]","9.007415705775 [ 6.416171068975 - 12.200921065625 ]","9.2117250931 [ 6.6079275929 - 12.2094096045 ]","9.204192911975 [ 6.8615269491 - 11.93360889405 ]","9.2035173342 [ 7.0555256023 - 12.0122563432 ]","10.488275528925 [ 9.38190810825 - 11.6308290117375 ]"
"med.AD.men.true.cl.15.25","1.6662077023 [ 0.8686546055 - 2.62452093165 ]","1.54978318715 [ 0.825946118999999 - 2.6321747250125 ]","1.666462271175 [ 0.909522578087501 - 2.783092368575 ]","1.573503953775 [ 0.7525766660125 - 2.7206339412125 ]","1.67872703605 [ 0.9236515585 - 2.7161451776 ]","1.59405384395 [ 0.7740714374 - 2.6773265544 ]","1.74092640125 [ 0.973570294724999 - 2.780817470275 ]","1.54757237035 [ 0.8372629535125 - 2.6062968498625 ]","1.684518254 [ 0.980039380587498 - 2.66769383425 ]","1.7117804023 [ 0.921506877900001 - 2.5464447536 ]","1.5582938397 [ 0.888523718400002 - 2.4326785006 ]","1.5913580838 [ 0.98159348645 - 2.48021315405 ]","1.55390632 [ 0.9466547914 - 2.5237900973 ]","1.38491641265 [ 1.0388096808375 - 1.7764417044125 ]"
"med.AD.women.true.cl.25.40","12.6255901097 [ 7.866922683375 - 16.3534129214 ]","12.80132796435 [ 7.989775494775 - 16.3490007547 ]","13.68136791415 [ 9.64176637545 - 16.865768032675 ]","12.8078212153 [ 8.3718331676 - 16.2947977953 ]","13.212291412 [ 9.574504565425 - 16.771658392075 ]","13.7627540589 [ 9.0309241758 - 16.50184046195 ]","13.2659732004 [ 9.9449754945 - 16.9852697381 ]","13.57946043985 [ 10.3313846668875 - 16.8587158511375 ]","13.6976480645 [ 9.902248512 - 16.2794398745 ]","13.3790557569 [ 9.36049225645 - 16.2532499649 ]","14.1067791719 [ 10.7538412609 - 16.4917763552 ]","13.375216301475 [ 9.7845341694 - 16.1559282653125 ]","13.68890645815 [ 9.7656564879375 - 16.5148977929625 ]","14.29161892435 [ 13.4867817095 - 15.11092049765 ]"
"med.AD.men.true.cl.25.40","9.8658705161 [ 7.2392561476 - 12.88509407705 ]","10.1923133582 [ 7.56210763855 - 12.7994146741 ]","9.9133564497 [ 7.0039045107 - 12.98184218455 ]","9.71301706985 [ 7.3277309743 - 12.4082349234 ]","10.172733707 [ 7.297506761875 - 12.68630639595 ]","10.08611253885 [ 7.811956475375 - 12.60543664795 ]","9.974352259125 [ 7.876507646675 - 12.3995240892 ]","9.83534819825 [ 7.7907531036 - 12.2713420185 ]","9.74486232045 [ 7.616297297675 - 12.1496579061 ]","9.9655923571 [ 7.67953030045 - 12.1965080377125 ]","9.9571060511 [ 8.196313217775 - 12.29582748435 ]","10.077644273875 [ 8.1989500408625 - 12.4594503027125 ]","9.88926331645 [ 8.0198249823 - 12.0879155656 ]","8.7206923515 [ 7.867736666175 - 9.3696801210875 ]"
